,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
8574,3756016.86181999,25866405.5919354,2528.0,90454.0,1207541.0,48374.0,13109551.0,2174563040.0,1573705731.0,1874038893.0856328,1.0027475909660595
4655,112843.86816175714,1710352.3716891224,59.0,173.0,1698.0,93.0,14182.0,3272392.0,1702436.0,1754439.2298068893,1.0069530698541351
4070,77439.88742665655,446312.31744338654,265.0,94898.0,1360716.0,54248.0,10871424.0,2319875621.0,1305035029.0,1847613761.186867,1.0153737505663423
83,6594.321841341322,28336.524633989884,94.0,145175.0,1969425.0,63325.0,15113254.0,2131634905.0,1814235683.0,1979553728.7848845,1.069393223443647
6482,120.01612042908786,360.62122918271797,42.0,16597.0,326968.0,29710.0,9553075.0,521724148.0,1146776860.0,882766694.145689,1.0713708012825567
10,158751.42131407536,1577115.788847481,46.0,306.0,2290.0,103.0,13948.0,2485469.0,1674391.0,1622450.4079776367,1.0742365384442105
5910,15470.794834815491,107559.73135205277,146.0,74754.0,1319124.0,20291.0,5382319.0,2211259346.0,646108101.0,1591328554.8654525,1.081456864900057
5406,1541334.4862668929,12879069.522923045,1139.0,17151.0,337883.0,30702.0,9871986.0,539140903.0,1185059795.0,914452159.073227,1.1000441996996613
4082,193715.3600493706,2407327.898588826,294.0,19263.0,379499.0,34483.0,11087890.0,605545330.0,1331020185.0,1044017035.9358718,1.137637826342269
7808,1011703.6467973596,7586187.331184189,940.0,99266.0,1422674.0,37468.0,7789557.0,2425507583.0,935079446.0,1834461704.1158912,1.150755991479822
7809,2023407.2935947191,15172374.662368378,940.0,99266.0,1422674.0,37468.0,7789557.0,2425507583.0,935079446.0,1834505713.1153543,1.1507871847612106
8790,47624.58356773173,216093.68109468144,122.0,82512.0,1089695.0,82529.0,17265454.0,1179446860.0,2072591547.0,1770204172.2413545,1.1890976069837205
8791,23812.291783865865,108046.84054734072,122.0,82512.0,1089695.0,82529.0,17265454.0,1179446860.0,2072591547.0,1770204169.5050392,1.1890980502571638
1965,12183.88261997406,59007.562905317776,88.0,20420.0,402289.0,36554.0,11753741.0,641909568.0,1410950676.0,1122359425.9816728,1.1912455700641638
8206,100387.41478651216,661830.1222216529,11672.0,75432.0,851912.0,3238.0,0.0,1641748112.0,0.0,1142301035.453211,1.1983209828146273
496,117635.63282153387,1658622.1201039134,79.0,117.0,1943.0,50.0,8464.0,2910858.0,1015988.0,1673512.6469667132,1.2527061725474096
5431,160602201.05840814,1021618440.6949568,26376.0,75115.0,1245512.0,32124.0,5426336.0,1866272757.0,651391971.0,1632173857.388546,1.2613103987084777
340,3264361.94182833,20091724.26731992,3284.0,67816.0,1272853.0,49070.0,18517156.0,1704351957.0,2222849220.0,2069690733.3790233,1.2618818518724186
2317,1804308.2598163725,12949906.783181898,2074.0,69161.0,1298083.0,50043.0,18884191.0,1667153540.0,2266909060.0,2092905239.1620967,1.2888764200592324
2318,1353231.1948622796,9712430.087386418,2074.0,69161.0,1298083.0,50043.0,18884191.0,1667153540.0,2266909060.0,2092888417.43869,1.288878039317869
2657,63452.116860775655,395427.9441203946,156.0,156331.0,2085399.0,62743.0,12424422.0,2721999529.0,1491461094.0,2271960297.7437816,1.3204888683294107
169,5113249.480750067,29222924.86033589,2402.0,155072.0,1300871.0,134195.0,19763623.0,1741878782.0,2372478544.0,2218275712.076031,1.4078987575434203
6319,872333.8832876211,5988878.038922047,3327.0,139707.0,2308797.0,60206.0,10507101.0,2847718874.0,1261300737.0,2298664525.2713585,1.410233529960987
6317,3489335.5331504843,23955512.15568819,3327.0,139707.0,2308797.0,60206.0,10507101.0,2847718874.0,1261300737.0,2298755154.6757255,1.410321450919231
4761,315870.59185677103,1979126.466035662,240.0,116657.0,1671925.0,44032.0,9154278.0,2850453554.0,1098904225.0,2246611244.16941,1.464412601954343
743,1767.4476128202018,12864.15831779323,34.0,28265.0,556850.0,50598.0,16269603.0,888535315.0,1953046918.0,1636687478.4942193,1.4711853255345093
744,1767.4476128202018,12864.15831779323,34.0,28265.0,556850.0,50598.0,16269603.0,888535315.0,1953046918.0,1636687478.4942193,1.4711853255345093
3244,867590.3161228255,6689269.70897712,198.0,119431.0,1712500.0,68273.0,13682001.0,2919630365.0,1642424216.0,2499209793.0887403,1.4827341634613043
3243,289196.7720409417,2229756.56965904,204.0,119443.0,1712682.0,68278.0,13683062.0,2919816003.0,1642551540.0,2499447844.4804597,1.4829527783611631
4932,102821.74507944904,540387.4531246918,120.0,77248.0,1449883.0,55895.0,21092537.0,1941394616.0,2532004902.0,2429370510.3534236,1.499374680133854
1981,164570.9238869273,2167490.325868424,78.0,353.0,2636.0,119.0,16057.0,2861254.0,1927547.0,2194245.345074498,1.5343957058754305
1114,104048.85228462338,736333.2268802337,49.0,96252.0,1698482.0,26127.0,6930184.0,2847180256.0,831917898.0,2208978050.359239,1.563053918961573
1928,256322.89958587664,2123801.626350944,860.0,186930.0,2871872.0,84319.0,16763247.0,2933933149.0,2012305259.0,2696337978.1003075,1.6028914487369277
3287,104378.53665298656,523844.2871820452,17.0,19.0,190.0,10.0,1588.0,366415.0,190624.0,536556.9750960103,1.665715896205615
3420,15094289.41481686,94416855.04936329,2506.0,5231.0,86739.0,2237.0,377896.0,161821519.0,45363698.0,100881797.62937012,1.6673426087097551
1922,168.94931161184647,825.662667670105,42.0,37645.0,741645.0,67390.0,21668790.0,1183402286.0,2601179884.0,2263945654.8979034,1.6871691789854042
414,63489.45403033037,1108856.2355550209,36.0,139.0,1040.0,47.0,6337.0,1129143.0,760672.0,1124920.6430052472,1.7010152254162842
2742,72888.38452076918,1287885.9694738341,30.0,148.0,1158.0,51.0,8336.0,1256197.0,1000725.0,1320571.6456264753,1.7098432820624483
7885,4418316.93144462,28269281.787555967,4309.0,77590.0,1545877.0,132524.0,16483037.0,3280134984.0,1978668148.0,2959721656.66652,1.8358923857958414
1136,211977.3908685712,1140080.3518009232,48.0,44.0,730.0,19.0,3180.0,1314309.0,381756.0,1172112.6158859024,1.8534223088056168
5000,7102.310996149228,68577.84075805287,42.0,41160.0,810885.0,73681.0,23691792.0,1293884940.0,2844026514.0,2512288811.406092,1.9159279067171182
1987,5165677.616386293,42075840.70325117,2924.0,144546.0,1966737.0,51218.0,10473987.0,3446337146.0,1257325579.0,2831756722.472076,1.9444762900351864
3004,48793.53854261501,704539.0941083592,18.0,56.0,455.0,17.0,1924.0,494028.0,230985.0,709593.9153945317,2.0129768491939704
8210,570363.6534173032,3722403.0072440743,17581.0,114070.0,1291187.0,912.25,59985.0,2485329270.0,7200704.0,1901388754.684433,2.0329337874268796
6045,30117.7363054304,548491.3111216505,10.0,18.0,201.0,10.0,1326.0,218057.0,159146.0,553093.2165780781,2.0621934560535147
7750,362814.9828393972,5173254.94675532,688.0,96338.0,1808186.0,69708.0,26305050.0,2421163636.0,3157729059.0,3179264249.467772,2.109678807144463
3367,237494.77441088203,2732664.6449958743,88.0,120.0,1986.0,51.0,8653.0,3576048.0,1038704.0,2750347.035528294,2.169064986145046
7150,473597.62888352905,3426498.4573947117,1011.0,48283.0,951221.0,86433.0,27792008.0,2018358539.0,3336227403.0,3149379601.299945,2.2067501708141766
2705,11306075.27533602,82474833.0082541,4826.0,101286.0,1901054.0,73289.0,27656060.0,2545512922.0,3319907834.0,3381214475.8488817,2.3025434368861295
