zip,city,city_fuel_use_diesel_min,city_fuel_use_diesel_avg,city_fuel_use_diesel_max,city_fuel_use_gas_min,city_fuel_use_gas_avg,city_fuel_use_gas_max
1001,West Springfield Town,89900,1626056,12327900,456000,7890952,60360800
1001,Suffield,89900,1626056,12327900,456000,7890952,60360800
1001,Agawam Town,89900,1626056,12327900,456000,7890952,60360800
1001,Longmeadow,89900,1626056,12327900,456000,7890952,60360800
1001,Springfield,344000,4983967,14536800,1901300,25678109,89210800
1002,New Salem,100,137717,7045800,100,303044,16707200
1002,Hadley,1800,610562,11545700,5300,1927851,23621800
1002,Amherst,89900,1626056,12327900,456000,7890952,60360800
1002,Granby,1800,610562,11545700,5300,1927851,23621800
1002,Belchertown,89900,1626056,12327900,456000,7890952,60360800
1002,Pelham,100,137717,7045800,100,303044,16707200
1002,Sunderland,1800,610562,11545700,5300,1927851,23621800
1002,Leverett,100,137717,7045800,100,303044,16707200
1002,South Hadley,89900,1626056,12327900,456000,7890952,60360800
1002,Shutesbury,100,137717,7045800,100,303044,16707200
1003,Amherst,89900,1626056,12327900,456000,7890952,60360800
1005,Hardwick,1800,610562,11545700,5300,1927851,23621800
1005,Phillipston,100,137717,7045800,100,303044,16707200
1005,Barre,1800,610562,11545700,5300,1927851,23621800
1005,Hubbardston,1800,610562,11545700,5300,1927851,23621800
1005,Petersham,100,137717,7045800,100,303044,16707200
1005,New Braintree,100,137717,7045800,100,303044,16707200
1005,Oakham,100,137717,7045800,100,303044,16707200
1005,Rutland,1800,610562,11545700,5300,1927851,23621800
1007,Ware,1800,610562,11545700,5300,1927851,23621800
1007,Palmer Town,89900,1626056,12327900,456000,7890952,60360800
1007,New Salem,100,137717,7045800,100,303044,16707200
1007,Ludlow,89900,1626056,12327900,456000,7890952,60360800
1007,Amherst,89900,1626056,12327900,456000,7890952,60360800
1007,Granby,1800,610562,11545700,5300,1927851,23621800
1007,Belchertown,89900,1626056,12327900,456000,7890952,60360800
1007,Pelham,100,137717,7045800,100,303044,16707200
1008,Tolland,100,137717,7045800,100,303044,16707200
1008,Huntington,100,137717,7045800,100,303044,16707200
1008,Russell,100,137717,7045800,100,303044,16707200
1008,Otis,100,137717,7045800,100,303044,16707200
1008,Blandford,100,137717,7045800,100,303044,16707200
1008,Granville,100,137717,7045800,100,303044,16707200
1008,Chester,100,137717,7045800,100,303044,16707200
1009,Palmer Town,89900,1626056,12327900,456000,7890952,60360800
1009,Belchertown,89900,1626056,12327900,456000,7890952,60360800
1010,Monson,1800,610562,11545700,5300,1927851,23621800
1010,Palmer Town,89900,1626056,12327900,456000,7890952,60360800
1010,Brimfield,1800,610562,11545700,5300,1927851,23621800
1010,Sturbridge,1800,610562,11545700,5300,1927851,23621800
1010,Warren,1800,610562,11545700,5300,1927851,23621800
1010,Holland,100,137717,7045800,100,303044,16707200
1010,Brookfield,1800,610562,11545700,5300,1927851,23621800
1010,Wales,100,137717,7045800,100,303044,16707200
1011,Middlefield,100,137717,7045800,100,303044,16707200
1011,Becket,100,137717,7045800,100,303044,16707200
1011,Huntington,100,137717,7045800,100,303044,16707200
1011,Worthington,100,137717,7045800,100,303044,16707200
