state_id,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
AK,Adak,0.0,3.0,19.0,0.0,0.0,26339.0,0.0
AK,Akhiok,1810.75,179103.75,1060756.25,54978.5,7258122.0,1463310810.25,871284491.0
AK,Akiak,10.0,523.75,3101.5,0.0,0.0,4370193.25,0.0
AK,Akutan,2715.25,268628.75,1590976.0,82467.75,10887183.0,2194742983.75,1306926736.5
AK,Alakanuk,1831.25,180191.75,1067199.25,54978.5,7258122.0,1472389513.0,871284491.0
AK,Aleknagik,1.0,32.0,192.0,0.0,0.0,270055.0,0.0
AK,Allakaket,381.0,16943.5,100348.5,4890.5,300033.0,138429723.0,36016744.0
AK,Ambler,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Anaktuvuk Pass,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Anchorage,3620.0,358164.0,2121256.0,109957.0,14516244.0,2926260018.0,1742568982.0
AK,Anderson,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Angoon,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Aniak,10.0,523.75,3101.5,0.0,0.0,4370193.25,0.0
AK,Anvik,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Atka,20.5,912.25,5404.5,0.0,0.0,7615223.0,0.0
AK,Atqasuk,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Barrow,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Bethel,40.0,1605.0,9507.0,0.0,0.0,13396331.0,0.0
AK,Bettles,381.0,16943.5,100348.5,4890.5,300033.0,138429723.0,36016744.0
AK,Brevig Mission,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Buckland,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Chefornak,10.0,473.75,2806.0,0.0,0.0,3953979.25,0.0
AK,Chevak,926.5,90445.75,535672.5,27489.25,3629061.0,739115383.25,435642245.5
AK,Chignik,905.25,89597.25,530647.75,27489.25,3629061.0,732035134.0,435642245.5
AK,Chuathbaluk,915.0,90054.25,533353.75,27489.25,3629061.0,735848173.75,435642245.5
AK,Clark's Point,1.0,32.0,189.0,0.0,0.0,266602.0,0.0
AK,Coffman Cove,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Cold Bay,1.0,23.0,136.0,0.0,0.0,191881.0,0.0
AK,Cordova,905.5,89591.75,530615.0,27489.25,3629061.0,731989126.0,435642245.5
AK,Craig,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Deering,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Delta Junction,191.0,8487.25,50265.75,2445.25,150016.5,69341015.5,18008372.0
AK,Dillingham,44.0,2308.0,13669.0,0.0,0.0,19261056.0,0.0
AK,Diomede,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Eagle,191.0,8487.25,50265.75,2445.25,150016.5,69341015.5,18008372.0
AK,Eek,10.0,527.0,3120.0,0.0,0.0,4396269.75,0.0
AK,Egegik,1821.25,179664.75,1064079.25,54978.5,7258122.0,1467993243.25,871284491.0
AK,Ekwok,916.5,90134.0,533826.5,27489.25,3629061.0,736514432.75,435642245.5
AK,Elim,191.0,8487.25,50265.75,2445.25,150016.5,69341015.5,18008372.0
AK,Emmonak,1821.25,179664.75,1064079.25,54978.5,7258122.0,1467993243.25,871284491.0
AK,Fairbanks,761.0,33856.0,200514.0,9781.0,600066.0,276607138.0,72033488.0
AK,False Pass,1821.25,179664.75,1064079.25,54978.5,7258122.0,1467993243.25,871284491.0
AK,Fort Yukon,191.0,8487.25,50265.75,2445.25,150016.5,69341015.5,18008372.0
AK,Galena,191.0,8487.25,50265.75,2445.25,150016.5,69341015.5,18008372.0
AK,Gambell,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Golovin,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Goodnews Bay,10.0,527.0,3120.0,0.0,0.0,4396269.75,0.0
AK,Grayling,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Gustavus,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Holy Cross,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Homer,1810.75,179103.75,1060756.25,54978.5,7258122.0,1463310810.25,871284491.0
AK,Hoonah,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Hooper Bay,1810.75,179103.75,1060756.25,54978.5,7258122.0,1463310810.25,871284491.0
AK,Hughes,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Huslia,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Hydaburg,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Juneau,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Kachemak,1810.75,179103.75,1060756.25,54978.5,7258122.0,1463310810.25,871284491.0
AK,Kake,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Kaktovik,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Kaltag,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Kasaan,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Kenai,2737.25,269549.5,1596428.75,82467.75,10887183.0,2202426193.5,1306926736.5
AK,Ketchikan,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Kiana,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,King Cove,2.0,64.0,377.0,0.0,0.0,531324.0,0.0
AK,Kivalina,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Klawock,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Kobuk,1.0,31.0,183.0,0.0,0.0,252308.0,0.0
AK,Kodiak,1810.75,179103.75,1060756.25,54978.5,7258122.0,1463310810.25,871284491.0
AK,Kotlik,1810.75,179103.75,1060756.25,54978.5,7258122.0,1463310810.25,871284491.0
