state_id,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,elec_degree,gas_degree
AK,Adak,151.0,122.0,210.0,1058.0,7.0,893.0,1490452.0,107140.0,1,1
AK,Akhiok,17.0,74.0,23.0,133.0,1.0,110.0,187773.0,13187.0,1,1
AK,Akiak,77.0,407.0,200.0,411.0,3.0,458.0,579012.0,54949.0,1,1
AK,Akutan,50.0,782.0,65.0,329.0,3.0,329.0,464143.0,39515.0,1,1
AK,Alakanuk,148.0,737.0,230.0,1156.0,0.0,0.0,1629516.0,0.0,1,1
AK,Aleknagik,59.0,189.0,145.0,299.0,3.0,329.0,421322.0,39516.0,1,1
AK,Allakaket,37.0,105.0,72.0,174.0,0.0,0.0,244649.0,0.0,1,1
AK,Ambler,61.0,295.0,160.0,330.0,3.0,385.0,464698.0,46261.0,1,1
AK,Anaktuvuk Pass,81.0,273.0,187.0,488.0,6.0,799.0,688205.0,95965.0,1,1
AK,Anchorage,31282.47,84618.63,37072.95,148728.62,20893.07,1794249.7,222856152.36,215386679.56,3,3
AK,Anderson,58.0,168.0,104.0,461.0,0.0,0.0,636055.0,0.0,1,1
AK,Angoon,121.0,448.0,135.0,1138.0,7.0,930.0,1603005.0,111628.0,1,1
AK,Aniak,129.0,526.0,293.0,602.0,7.0,931.0,848080.0,111771.0,1,1
AK,Anvik,22.0,86.0,37.0,142.0,1.0,168.0,200652.0,20141.0,1,1
AK,Atka,13.0,51.0,18.0,91.0,1.0,77.0,128179.0,9214.0,1,1
AK,Atqasuk,47.0,167.0,108.0,281.0,4.0,461.0,396593.0,55302.0,1,1
AK,Barrow,1370.0,4316.0,1333.0,10116.0,754.0,223705.0,14253805.0,26854150.0,1,1
AK,Bethel,1906.0,6365.0,2723.0,13700.0,86.0,11346.0,19304445.0,1362030.0,1,1
AK,Bettles,10.0,36.0,17.0,64.0,1.0,71.0,89768.0,8518.0,1,1
AK,Brevig Mission,71.0,417.0,180.0,370.0,3.0,422.0,521873.0,50628.0,1,1
AK,Buckland,63.0,616.0,164.0,336.0,3.0,393.0,474086.0,47195.0,1,1
AK,Chefornak,77.0,507.0,202.0,415.0,4.0,462.0,584920.0,55509.0,1,1
AK,Chevak,174.0,1194.0,271.0,1362.0,0.0,0.0,1918624.0,0.0,1,1
AK,Chignik,33.0,40.0,45.0,228.0,2.0,239.0,321870.0,28670.0,1,1
AK,Chuathbaluk,25.0,109.0,56.0,115.0,1.0,178.0,162483.0,21414.0,1,1
AK,Clark's Point,22.0,47.0,55.0,113.0,1.0,125.0,159592.0,14968.0,1,1
AK,Coffman Cove,120.0,180.0,160.0,520.0,6.0,770.0,733047.0,92394.0,1,1
AK,Cold Bay,87.0,60.0,114.0,575.0,4.0,574.0,809782.0,68942.0,1,1
AK,Cordova,887.0,3047.0,1347.0,5170.0,42.0,5573.0,7285185.0,668990.0,1,1
AK,Craig,447.0,1257.0,642.0,2094.0,19.0,2495.0,2950407.0,299506.0,1,1
AK,Deering,38.0,150.0,99.0,203.0,2.0,237.0,286329.0,28504.0,1,1
AK,Delta Junction,278.0,1050.0,514.0,2271.0,11.0,1506.0,3132412.0,180838.0,1,1
AK,Dillingham,754.0,2296.0,1025.0,5155.0,0.0,0.0,7263684.0,0.0,1,1
AK,Diomede,32.0,55.0,82.0,169.0,1.0,192.0,238136.0,23102.0,1,1
AK,Eagle,79.0,84.0,126.0,541.0,5.0,661.0,746579.0,79398.0,1,1
AK,Eek,79.0,472.0,206.0,423.0,4.0,472.0,596737.0,56631.0,1,1
AK,Egegik,80.0,80.0,111.0,557.0,4.0,582.0,784749.0,69900.0,1,1
AK,Ekwok,23.0,79.0,56.0,116.0,1.0,127.0,162784.0,15268.0,1,1
AK,Elim,73.0,300.0,184.0,378.0,3.0,430.0,532006.0,51611.0,1,1
AK,Emmonak,169.0,808.0,263.0,1324.0,0.0,0.0,1866059.0,0.0,1,1
AK,Fairbanks,10973.0,32578.0,15782.0,69677.0,502.0,24840.0,96119286.0,2981855.0,2,1
AK,False Pass,42.0,64.0,56.0,280.0,2.0,280.0,395016.0,33630.0,1,1
AK,Fort Yukon,150.0,568.0,230.0,1014.0,8.0,1101.0,1429433.0,132218.0,1,1
AK,Galena,170.0,524.0,329.0,790.0,0.0,0.0,1113574.0,0.0,1,1
AK,Gambell,138.0,690.0,350.0,719.0,6.0,819.0,1013345.0,98306.0,1,1
AK,Golovin,44.0,132.0,112.0,230.0,2.0,262.0,324270.0,31458.0,1,1
AK,Goodnews Bay,64.0,216.0,167.0,344.0,3.0,383.0,484480.0,45977.0,1,1
AK,Grayling,30.0,165.0,50.0,195.0,2.0,230.0,274807.0,27585.0,1,1
AK,Gustavus,231.0,472.0,256.0,2160.0,13.0,1765.0,3043205.0,211919.0,1,1
AK,Holy Cross,41.0,216.0,69.0,266.0,2.0,314.0,375133.0,37656.0,1,1
AK,Homer,2107.0,5418.0,3342.0,13013.0,821.0,82880.0,17951970.0,9949193.0,1,1
AK,Hoonah,189.0,774.0,210.0,1773.0,11.0,1449.0,2498434.0,173983.0,1,1
AK,Hooper Bay,225.0,1114.0,350.0,1760.0,0.0,0.0,2479317.0,0.0,1,1
