,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id,lof_score_100,lof_score_500,lof_score_1000
0,West Springfield Town,11630.0,28575.0,15270.0,81359.0,6118.0,532326.0,88295765.0,63901804.0,MA,-1.0036015873383108,-1.0860100682382308,-1.196100016844632
1,Suffield,4840.0,15513.0,8215.0,41700.0,948.0,69044.0,45255966.0,8288254.0,MA,-1.0092315725634224,-1.01902678703121,-1.0463160498933164
2,Agawam Town,11621.0,28701.0,17452.0,92827.0,5959.0,518578.0,100741935.0,62251543.0,MA,-0.9947662626138124,-1.0703792505337828,-1.1512653681278255
3,Longmeadow,5710.0,15772.0,9383.0,49609.0,5039.0,438806.0,53838507.0,52675405.0,MA,-1.1241934900640287,-1.1968744078440037,-1.3127844614303048
4,Springfield,55921.0,153991.0,79978.0,425074.0,37335.0,3251343.0,461319159.0,390300006.0,MA,-1.2919383990357727,-1.8575593963578017,-2.3644343740013047
5,New Salem,435.0,986.0,667.0,3472.0,62.0,5013.0,3768203.0,601770.0,MA,-1.0301990913764645,-1.0331386331080392,-0.9997247588190389
6,Hadley,2291.0,5209.0,3400.0,17708.0,606.0,52272.0,19218075.0,6274904.0,MA,-0.9993557077515657,-1.1348045732311876,-1.1304916393283024
7,Amherst,8955.0,37611.0,12155.0,64304.0,2277.0,185120.0,69786805.0,22222346.0,MA,-1.0373571974300395,-1.038410284272883,-1.0604224159913784
8,Granby,2493.0,6232.0,4030.0,20918.0,516.0,44544.0,22701281.0,5347128.0,MA,-1.0418106843574393,-1.069651086118839,-1.041247894290493
9,Belchertown,5611.0,14479.0,9055.0,46992.0,576.0,49738.0,50999103.0,5970636.0,MA,-1.0124338199504423,-1.023780617792426,-1.0904526768799876
10,Pelham,533.0,1290.0,847.0,4409.0,86.0,6866.0,4785314.0,824218.0,MA,-1.0623239742385957,-1.0686961358616272,-1.014074685461671
11,Sunderland,1567.0,3780.0,2042.0,10817.0,329.0,26427.0,11739026.0,3172329.0,MA,-1.0661173697679223,-1.1388430430980048,-1.0926839610764179
12,Leverett,759.0,1720.0,1163.0,6056.0,109.0,8743.0,6572070.0,1049539.0,MA,-1.0431054054398277,-1.0358888413634948,-1.0045496517705275
13,South Hadley,6786.0,17493.0,7760.0,54126.0,3273.0,284646.0,58741281.0,34169716.0,MA,-0.9937261030620954,-1.040788639386668,-1.1242809133117397
14,Shutesbury,810.0,1837.0,1241.0,6466.0,116.0,9336.0,7017772.0,1120716.0,MA,-1.0373376635920706,-1.0459180444218628,-1.0098323613172864
