state_abbr,r_elec_class_Normal,r_elec_class_High,r_elec_class_VeryHigh,r_gas_class_Normal,r_gas_class_High,r_gas_class_VeryHigh,c_elec_class_Normal,c_elec_class_High,c_elec_class_VeryHigh,c_gas_class_Normal,c_gas_class_High,c_gas_class_VeryHigh,i_elec_class_Normal,i_elec_class_High,i_elec_class_VeryHigh,i_gas_class_Normal,i_gas_class_High,i_gas_class_VeryHigh
AK,0.98,0.01,0.01,0.99,0.00,0.01,0.96,0.04,0.00,1.00,0.00,0.00,0.69,0.21,0.10,0.83,0.14,0.03
AL,0.85,0.08,0.07,0.99,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR,0.93,0.03,0.05,0.98,0.01,0.01,0.85,0.11,0.04,0.86,0.09,0.04,0.74,0.22,0.04,0.74,0.20,0.07
AZ,0.60,0.05,0.35,0.87,0.09,0.04,0.70,0.23,0.08,0.67,0.24,0.09,0.71,0.24,0.06,0.79,0.15,0.06
CA,0.41,0.20,0.39,0.67,0.20,0.13,0.66,0.20,0.13,0.59,0.22,0.19,0.66,0.23,0.11,0.66,0.25,0.10
CO,0.87,0.05,0.08,0.90,0.03,0.07,0.79,0.18,0.03,0.79,0.14,0.06,0.76,0.17,0.07,0.78,0.14,0.08
CT,0.58,0.24,0.18,0.89,0.06,0.05,0.65,0.24,0.11,0.76,0.15,0.09,0.71,0.25,0.04,0.70,0.25,0.05
DC,0.70,0.10,0.20,0.80,0.00,0.20,0.78,0.11,0.11,0.78,0.11,0.11,0.75,0.25,0.00,0.75,0.25,0.00
DE,0.90,0.07,0.03,0.99,0.01,0.00,0.72,0.21,0.07,0.84,0.12,0.04,0.53,0.37,0.11,0.74,0.26,0.00
FL,0.60,0.13,0.27,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,0.84,0.08,0.08,0.96,0.02,0.01,0.79,0.17,0.03,0.90,0.10,0.00,0.50,0.38,0.12,0.62,0.25,0.12
HI,0.20,0.00,0.80,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.33,0.00,0.67
IA,0.96,0.01,0.02,0.98,0.01,0.01,0.91,0.07,0.02,0.87,0.10,0.03,0.63,0.24,0.13,0.63,0.26,0.11
ID,0.91,0.04,0.05,0.96,0.03,0.01,0.85,0.13,0.02,0.83,0.14,0.03,0.76,0.14,0.10,0.76,0.19,0.05
IL,0.86,0.08,0.05,0.89,0.07,0.04,0.78,0.14,0.08,0.81,0.12,0.07,0.68,0.22,0.10,0.68,0.24,0.08
IN,0.86,0.07,0.07,0.93,0.04,0.03,0.83,0.11,0.06,0.81,0.14,0.05,0.58,0.31,0.11,0.54,0.32,0.13
KS,0.95,0.03,0.02,0.98,0.01,0.01,0.84,0.12,0.03,0.88,0.09,0.03,0.77,0.17,0.06,0.75,0.19,0.05
KY,0.89,0.06,0.05,0.98,0.01,0.01,0.72,0.22,0.07,0.78,0.18,0.04,0.68,0.28,0.04,0.69,0.20,0.11
LA,0.86,0.08,0.06,0.99,0.00,0.01,0.77,0.18,0.05,0.84,0.11,0.05,0.70,0.26,0.04,0.65,0.22,0.12
MA,0.67,0.20,0.12,0.87,0.09,0.04,0.63,0.22,0.15,0.77,0.11,0.12,0.72,0.22,0.07,0.73,0.20,0.07
MD,0.87,0.07,0.06,0.97,0.02,0.01,0.76,0.19,0.05,0.81,0.16,0.03,0.79,0.17,0.04,0.87,0.09,0.04
ME,0.98,0.02,0.00,1.00,0.00,0.00,0.87,0.10,0.03,0.94,0.04,0.02,0.93,0.06,0.01,0.93,0.06,0.01
MI,0.91,0.05,0.05,0.92,0.03,0.05,0.76,0.17,0.07,0.80,0.15,0.05,0.70,0.22,0.07,0.72,0.22,0.06
MN,0.91,0.05,0.03,0.95,0.03,0.02,0.85,0.11,0.04,0.84,0.12,0.04,0.74,0.20,0.06,0.72,0.22,0.06
MO,0.92,0.04,0.04,0.97,0.02,0.01,0.79,0.13,0.08,0.99,0.01,0.00,0.73,0.20,0.07,0.77,0.17,0.05
MS,0.84,0.08,0.07,0.98,0.01,0.01,0.78,0.16,0.06,0.83,0.13,0.04,0.55,0.34,0.11,0.53,0.33,0.14
MT,0.95,0.02,0.04,0.95,0.02,0.02,0.80,0.16,0.03,0.80,0.17,0.03,0.78,0.22,0.00,0.81,0.16,0.03
NC,0.83,0.08,0.09,0.97,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
