city,state_abbr,r_housing_units,r_total_pop,r_elec_1kdollars,r_elec_mwh,r_gas_1kdollars,r_gas_mcf,r_elec_lb_ghg,r_gas_lb_ghg,r_elec_class,r_gas_class,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Adak,AK,151.0,122.0,210.0,1058.0,7.0,893.0,1490452.0,107140.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Akhiok,AK,17.0,74.0,23.0,133.0,1.0,110.0,187773.0,13187.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Akiak,AK,77.0,407.0,200.0,411.0,3.0,458.0,579012.0,54949.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Akutan,AK,50.0,782.0,65.0,329.0,3.0,329.0,464143.0,39515.0,1,1,,,,,,,,,,,,863.4344616492618,6472.972992437884,1.0,678.0,55553.0,866.0,171193.0,78278524.0,20550412.0,3.0,2.0
Alakanuk,AK,148.0,737.0,230.0,1156.0,0.0,0.0,1629516.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Aleknagik,AK,59.0,189.0,145.0,299.0,3.0,329.0,421322.0,39516.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Allakaket,AK,37.0,105.0,72.0,174.0,0.0,0.0,244649.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Ambler,AK,61.0,295.0,160.0,330.0,3.0,385.0,464698.0,46261.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Anaktuvuk Pass,AK,81.0,273.0,187.0,488.0,6.0,799.0,688205.0,95965.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Anchorage,AK,31282.47,84618.63,37072.95,148728.62,20893.07,1794249.7,222856152.36,215386679.56,3,3,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,7649.32,39969.32,50.0,678.0,9253.0,2622.0,518215.0,13496294.5,62207878.0,1.0,3.0
