city,state_abbr,r_elec_class,r_gas_class,c_elec_class,c_gas_class,i_elec_class,i_gas_class
Adak,AK,1,1,0.0,0.0,0.0,0.0
Akhiok,AK,1,1,0.0,0.0,0.0,0.0
Akiak,AK,1,1,0.0,0.0,0.0,0.0
Akutan,AK,1,1,0.0,0.0,3.0,2.0
Alakanuk,AK,1,1,0.0,0.0,0.0,0.0
Aleknagik,AK,1,1,0.0,0.0,0.0,0.0
Allakaket,AK,1,1,0.0,0.0,0.0,0.0
Ambler,AK,1,1,0.0,0.0,0.0,0.0
Anaktuvuk Pass,AK,1,1,0.0,0.0,0.0,0.0
Anchorage,AK,3,3,1.0,1.0,1.0,3.0
Anderson,AK,1,1,1.0,1.0,0.0,0.0
Angoon,AK,1,1,1.0,1.0,0.0,0.0
Aniak,AK,1,1,0.0,0.0,0.0,0.0
Anvik,AK,1,1,0.0,0.0,0.0,0.0
Atka,AK,1,1,0.0,0.0,0.0,0.0
Atqasuk,AK,1,1,0.0,0.0,0.0,0.0
Barrow,AK,1,1,0.0,0.0,0.0,0.0
Bethel,AK,1,1,1.0,1.0,1.0,1.0
Bettles,AK,1,1,0.0,0.0,0.0,0.0
Brevig Mission,AK,1,1,1.0,1.0,0.0,0.0
Buckland,AK,1,1,0.0,0.0,0.0,0.0
Chefornak,AK,1,1,0.0,0.0,0.0,0.0
Chevak,AK,1,1,0.0,0.0,0.0,0.0
Chignik,AK,1,1,0.0,0.0,1.0,1.0
Chuathbaluk,AK,1,1,0.0,0.0,0.0,0.0
Clark's Point,AK,1,1,0.0,0.0,0.0,0.0
Coffman Cove,AK,1,1,1.0,1.0,0.0,0.0
Cold Bay,AK,1,1,1.0,1.0,0.0,0.0
Cordova,AK,1,1,0.0,0.0,1.0,1.0
Craig,AK,1,1,1.0,1.0,1.0,1.0
Deering,AK,1,1,0.0,0.0,0.0,0.0
Delta Junction,AK,1,1,1.0,1.0,0.0,0.0
Dillingham,AK,1,1,2.0,1.0,1.0,1.0
Diomede,AK,1,1,1.0,1.0,0.0,0.0
Eagle,AK,1,1,0.0,0.0,0.0,0.0
Eek,AK,1,1,0.0,0.0,0.0,0.0
Egegik,AK,1,1,0.0,0.0,1.0,1.0
Ekwok,AK,1,1,0.0,0.0,0.0,0.0
Elim,AK,1,1,0.0,0.0,0.0,0.0
