city,state_abbr,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Abbeville,LA,1032.3837732611082,7298.635660107988,67.0,501.0,9861.0,896.0,288103.0,15734217.0,34584628.0,2,3
Abbotsford,WI,675.7972464473859,3302.65067068042,25.0,3151.0,42034.0,1265.0,250434.0,45496597.0,30062736.0,3,3
Aberdeen,MD,1626.990709734791,5936.806655860056,35.0,781.0,9913.0,352.0,39952.0,19103260.0,4795947.0,2,2
Aberdeen,MS,4694.645705607493,40767.499287596176,45.0,3841.0,66291.0,2084.0,479031.0,111124788.0,57504200.0,3,3
Aberdeen,NJ,35632.94591121578,127428.29530441805,48.0,352.0,3467.0,191.0,28953.0,6680699.0,3475582.0,1,2
Aberdeen,SD,25050.715105908297,260431.43221108237,148.0,1759.0,23230.0,1759.0,368069.0,25143707.0,44183961.0,3,3
Aberdeen,WA,5276.162522273762,19926.91412372936,69.0,247.0,5574.0,129.0,17208.0,6875006.0,2065725.0,2,1
Abernathy,TX,542.3302365782637,1978.9355519533522,73.0,859.0,16127.0,622.0,234605.0,34218263.0,28162605.0,2,3
Abilene,KS,863.4344616492618,6472.972992437884,52.0,2602.0,34733.0,1391.0,377080.0,62548693.0,45265754.0,3,3
Abilene,TX,157413.38921277868,1183602.7825873736,1066.0,5222.0,98015.0,3779.0,1425895.0,131241875.0,171168225.0,3,3
Abington,PA,135241.8717909139,911023.2156468785,175.0,3876.0,56004.0,1866.0,252227.0,107926910.0,30278043.0,3,3
Abita Springs,LA,240.03224085817573,721.2424583654359,14.0,78.0,1536.0,140.0,44879.0,2450988.0,5387399.0,1,2
Absecon,NJ,2587.007573964497,11350.381065088755,14.0,16.0,160.0,9.0,1338.0,308707.0,160603.0,1,1
Acton,MA,110351.20676693042,487820.3281930786,112.0,4391.0,32831.0,1480.0,199956.0,35630506.0,24003277.0,3,3
Acton,ME,63504.48338427697,300614.311747903,14.0,51.0,570.0,29.0,3761.0,618544.0,451435.0,1,1
Acton,NH,38102.690030566184,180368.58704874176,14.0,51.0,570.0,29.0,3761.0,618544.0,451435.0,1,1
Acushnet,MA,79239.3766945307,1156282.6277687647,41.0,457.0,3418.0,154.0,20817.0,3709487.0,2498978.0,1,1
Acworth,NH,6109.9275252437465,16784.89830608479,11.0,22.0,178.0,6.0,753.0,193219.0,90340.0,1,1
Ada,OK,19970.35673495289,90040.89422378379,220.0,3125.0,62265.0,5338.0,663906.0,132117729.0,79697069.0,3,3
Adair,OK,337.89862322369294,1651.32533534021,10.0,148.0,2942.0,252.0,31366.0,6241807.0,3765231.0,1,2
Adams,MA,48312.59128845051,421096.23849945,36.0,989.0,7397.0,333.0,45053.0,8028066.0,5408284.0,2,2
Adams,NY,4487.765960359715,28122.4908582772,33.0,304.0,5048.0,130.0,21991.0,9088324.0,2639808.0,2,1
Adams,PA,265912.20095340913,2211666.085686278,122.0,4767.0,68876.0,2296.0,310197.0,122222257.0,37236931.0,3,3
Adamstown,PA,7106.330045409697,46098.43700460769,9.0,477.0,6886.0,229.0,31012.0,13269746.0,3722722.0,2,2
Adamsville,TN,11003.680907131584,30362.59630842252,38.0,826.0,14553.0,337.0,75990.0,24394542.0,9122057.0,2,2
Addis,LA,6764.412372925536,66926.51542271266,16.0,3520.0,69353.0,6302.0,2026300.0,110662780.0,243242557.0,3,3
Addison,IL,2197270.142496789,14267761.547523627,725.0,9027.0,138689.0,4072.0,809533.0,236449624.0,97178503.0,3,3
Addison,MD,14378.913783702881,112805.94845637011,23.0,883.0,12752.0,425.0,57431.0,24574405.0,6894155.0,2,2
Addison,ME,11584.76499762557,59843.87173561046,12.0,39.0,440.0,22.0,2905.0,477745.0,348674.0,1,1
Addison,PA,23964.85630617147,188009.91409395015,25.0,891.0,12868.0,429.0,57955.0,24798649.0,6957065.0,2,2
Addison,TX,90233.8773257867,578488.9316134951,304.0,39482.0,741049.0,28569.0,10780606.0,992266112.0,1294132908.0,3,3
Addison,VT,2590.3033849477856,19418.918977313646,25.0,183.0,1793.0,14.0,2693.0,1945430.0,323226.0,1,1
Addyston,KY,6884.428493354624,67287.13665189539,1.0,5.0,73.0,2.0,402.0,125192.0,48264.0,1,1
Addyston,OH,20653.28548006387,201861.40995568613,1.0,5.0,73.0,2.0,402.0,125192.0,48264.0,1,1
Adel,IA,168.94931161184647,825.662667670105,30.0,678.0,11211.0,453.0,96428.0,12134673.0,11575514.0,2,2
Adelanto,CA,181684.7491507632,1385580.8628376634,82.0,3085.0,25883.0,2670.0,393232.0,34657738.0,47204628.0,3,3
Adrian,MI,7011.573233027876,47499.55139574286,69.0,3925.0,56792.0,1816.0,315793.0,74126882.0,37908647.0,3,3
Afton,MN,1436.0619945641495,5607.259642828648,38.0,147.0,1995.0,64.0,15312.0,2159700.0,1838122.0,1,1
Afton,NY,6194.30263956665,43791.81396064792,17.0,67.0,1117.0,29.0,4866.0,2010891.0,584086.0,1,1
Afton,WI,478.68733152138327,1869.0865476095487,38.0,147.0,1995.0,64.0,15312.0,2159700.0,1838122.0,1,1
Afton,WY,1502.4517290586111,5960.842793171597,14.0,871.0,12578.0,262.0,66155.0,15514295.0,7941374.0,2,2
Agawam Town,CT,73264.66952923662,437475.5259156133,130.0,5262.0,39343.0,1773.0,239619.0,42698151.0,28764553.0,3,3
Agawam Town,MA,219794.0085877099,1312426.5777468402,130.0,5262.0,39343.0,1773.0,239619.0,42698151.0,28764553.0,3,3
Agoura Hills,CA,95491.04230408113,626199.0600238249,180.0,1823.0,15295.0,1578.0,232376.0,20480567.0,27894998.0,2,3
Ainsworth,NE,904.0131511709402,6391.185325355345,92.0,911.0,11846.0,391.0,96665.0,12821261.0,11603904.0,2,2
Airway Heights,WA,48076.94858332118,223701.51845147106,21.0,170.0,3830.0,88.0,11823.0,4723466.0,1419254.0,2,1
Aitkin,MN,1032.3837732611082,7298.635660107988,30.0,442.0,6002.0,193.0,46060.0,6496500.0,5529175.0,2,2
Akron,OH,1522030.234858441,10493708.2821714,1221.0,42828.0,613813.0,16165.0,3360809.0,1046486492.0,403440507.0,3,3
Akutan,AK,863.4344616492618,6472.972992437884,1.0,8463.0,55553.0,866.0,171193.0,78278524.0,20550412.0,3,3
Alabama,NY,846.5990083905415,2284.0914569031274,54.0,33.0,546.0,14.0,2378.0,982969.0,285515.0,1,1
Alameda,CA,111127.50848123127,542344.9225676936,288.0,6770.0,56789.0,5858.0,862774.0,76041094.0,103569701.0,3,3
Alamo,TX,14971.644345485976,84140.30361793995,67.0,203.0,3819.0,147.0,55565.0,5114301.0,6670171.0,2,2
Alamo Heights,TX,1013.35380118238,6828.3795211909655,45.0,389.0,7295.0,281.0,106131.0,9768514.0,12740288.0,2,2
Alamogordo,NM,5264.696231440049,34207.630046708284,73.0,326.0,5590.0,50.0,11863.0,7179814.0,1424116.0,2,1
Alamosa,CO,1153.3264887454716,7624.934439665577,46.0,136.0,1853.0,48.0,9871.0,3247803.0,1184894.0,1,1
Alba,MO,506.8479348355394,2476.988003010315,1.0,11.0,158.0,5.0,745.0,161546.0,89383.0,1,1
Albany,CA,16871.4836275896,81715.78620954492,55.0,233.0,1951.0,201.0,29637.0,2612044.0,3557664.0,1,2
Albany,IN,506.8479348355394,2476.988003010315,11.0,297.0,4255.0,170.0,33996.0,7254483.0,4080975.0,2,2
Albany,KY,1290.8908017017752,7856.285382239405,72.0,1534.0,27076.0,416.0,110475.0,45387206.0,13261692.0,3,2
Albany,MO,5958.704210317815,51589.004806383164,42.0,329.0,4626.0,137.0,21783.0,4726094.0,2614948.0,2,1
Albany,NY,361156.1246508303,3116095.4505641977,244.0,3865.0,64083.0,1653.0,279191.0,115384787.0,33514834.0,3,3
Albany,OR,71672.3858975215,470986.0766565939,231.0,2338.0,38634.0,1007.0,175821.0,47652368.0,21106004.0,3,3
Albany,PA,60275.868783098405,278495.0030601546,65.0,414.0,5971.0,199.0,26894.0,11507720.0,3228400.0,2,2
Albany,VT,1809.5491990846679,3903.548054919908,17.0,66.0,643.0,5.0,966.0,698170.0,115998.0,1,1
Albert Lea,MN,25099.457972843946,189537.15162781675,147.0,8653.0,117380.0,3774.0,900767.0,127047880.0,108130523.0,3,3
Albertville,MN,21351.47534789333,183932.04162400297,30.0,308.0,4174.0,134.0,32035.0,4518319.0,3845544.0,2,2
Albion,IN,373.3809249664172,1153.2728842832469,22.0,1522.0,21821.0,870.0,174338.0,37202296.0,20927975.0,2,3
Albion,ME,7745.3448102106495,47137.712293436416,26.0,62.0,694.0,35.0,4577.0,752832.0,549443.0,1,1
Albion,MI,1615.2926993610504,9195.783544978804,63.0,14718.0,212954.0,6809.0,1184140.0,277956084.0,142147339.0,3,3
Albion,NE,6780.2600565099365,50756.44339882241,122.0,1717.0,22317.0,736.0,182116.0,24155122.0,21861635.0,2,3
Albion,NY,506.8479348355394,2476.988003010315,55.0,682.0,11305.0,292.0,49253.0,20355279.0,5912424.0,2,2
Albion,PA,337.89862322369294,1651.32533534021,15.0,378.0,5462.0,182.0,24601.0,10526870.0,2953230.0,2,2
Albuquerque,NM,1171117.0719070595,7406418.489904462,1907.0,61387.0,1051897.0,9331.0,2232251.0,1350972725.0,267965392.0,3,3
Alcoa,TN,84829.7984382682,365367.4331529643,68.0,1976.0,34793.0,807.0,181679.0,58322991.0,21809209.0,3,3
Aldan,PA,4129.535093044433,29194.542640431948,4.0,12.0,174.0,6.0,783.0,335133.0,94019.0,1,1
Alden,NY,116183.75950696119,636872.4280715865,208.0,562.0,9312.0,240.0,40568.0,16766202.0,4869936.0,2,2
Aledo,IL,168.94931161184647,825.662667670105,42.0,1507.0,23149.0,680.0,135119.0,23648847.0,16220104.0,3,2
Aleppo,PA,675.7972464473859,3302.65067068042,64.0,668.0,9647.0,321.0,43447.0,16446747.0,5215468.0,2,2
Alexander,ME,19346.273241001974,170726.11474361338,5.0,11.0,125.0,6.0,824.0,135455.0,98859.0,1,1
Alexander,NY,5180.606769895571,38837.83795462728,79.0,260.0,4309.0,111.0,18771.0,7757936.0,2253381.0,2,1
Alexandria,DC,41568.77916259072,251359.0526129773,402.0,2938.0,44808.0,992.0,224502.0,55548291.0,26949877.0,3,3
Alexandria,LA,77142.0880322934,551367.0500339529,197.0,2944.0,57993.0,5270.0,1694401.0,123053677.0,203400457.0,3,3
Alexandria,NH,8011.653963196259,20815.571689473865,11.0,22.0,182.0,7.0,770.0,197638.0,92407.0,1,1
Alexandria,NJ,39885.47352689924,329666.24419588345,53.0,121.0,1193.0,66.0,9963.0,2298936.0,1196004.0,1,1
Alexandria,NY,6178.908869618135,26853.44530655713,34.0,101.0,1673.0,43.0,7290.0,3012772.0,875094.0,1,1
Alexandria,PA,6647.578921149874,54944.37403264725,57.0,137.0,1419.0,74.0,10979.0,2733689.0,1317970.0,1,1
Alexandria,VA,124706.33748777215,754077.1578389325,402.0,2938.0,44808.0,992.0,224502.0,55548291.0,26949877.0,3,3
Alfred,NY,28013.340394771378,203704.71400945718,40.0,892.0,14792.0,382.0,64443.0,26633139.0,7735901.0,2,2
Algoma,WI,1242.8842055742916,7356.921494126888,36.0,655.0,8743.0,263.0,52087.0,11411500.0,6252686.0,2,2
Algona,IA,4337.765416882646,25625.58432001585,122.0,3286.0,54343.0,2197.0,467403.0,58818603.0,56108273.0,3,3
Algona,WA,3790.206295182251,10674.502306818282,23.0,668.0,15050.0,347.0,46463.0,18562962.0,5577592.0,2,2
Algonquin,IL,79665.21409586121,436489.45402070455,379.0,1408.0,21626.0,635.0,126231.0,36869852.0,15153152.0,2,2
Algood,TN,542.3302365782637,1978.9355519533522,28.0,186.0,3277.0,76.0,17114.0,5493963.0,2054404.0,1,1
Alhambra,CA,400204.9276784553,2337743.2744686417,326.0,6550.0,54950.0,5669.0,834834.0,73578622.0,100215758.0,3,3
Alice,TX,5147.418225356937,43014.44778508822,107.0,1566.0,29396.0,1133.0,427639.0,39360662.0,51334947.0,3,3
Aliquippa,PA,50570.895834728464,243940.7480808623,35.0,17240.0,249069.0,8301.0,1121748.0,424636892.0,134657639.0,3,3
Aliso Viejo,CA,109756.9903664094,483476.0276885121,209.0,10774.0,90383.0,9324.0,1373151.0,121023500.0,164836762.0,3,3
Allamuchy,NJ,3974.078142044109,14037.34068681642,31.0,121.0,1189.0,65.0,9929.0,2291112.0,1191933.0,1,1
Allegan,MI,711.2795481901103,2804.598219623457,51.0,5164.0,74714.0,2389.0,415451.0,97519732.0,49871800.0,3,3
Allegany,NY,21510.995219581873,138858.1052965901,4448.0,921.0,15274.0,394.0,66547.0,27502540.0,7988428.0,2,2
Allegany,PA,27558.930882019737,219001.2548114145,4471.0,989.0,16263.0,427.0,71003.0,29409094.0,8523297.0,2,2
Allegheny,PA,19579.224975992707,81087.46394616633,845.0,12588.0,181848.0,6059.0,819001.0,318678735.0,98315081.0,3,3
Allen,OK,5579.1430655587965,45071.41082929571,41.0,285.0,5677.0,487.0,60532.0,12045964.0,7266459.0,2,2
Allen,TX,46643.08755166501,215894.1241912184,257.0,4816.0,90389.0,3485.0,1314963.0,121031493.0,157851645.0,3,3
Allen Park,MI,51299.23448783669,292280.53883168194,87.0,1743.0,25221.0,806.0,140240.0,32918908.0,16834800.0,3,2
Allendale,MI,32493.839210771635,157479.84620191492,81.0,1180.0,17068.0,546.0,94907.0,22277844.0,11392937.0,2,2
Allendale,NJ,2638.8681997759672,9044.207855884672,44.0,913.0,8989.0,495.0,75075.0,16185190.0,9012182.0,2,2
Allenport,PA,16911.03093231384,167316.28855678163,5.0,16690.0,241129.0,8036.0,1085986.0,411099368.0,130364722.0,3,3
Allenstown,NH,2240.2855497985033,6919.637305699483,20.0,47.0,377.0,14.0,1594.0,409221.0,191333.0,1,1
Allenton,WI,168.94931161184647,825.662667670105,10.0,118.0,1572.0,47.0,9364.0,2679564.0,1124061.0,1,1
Alliance,NE,1333.5024174467646,5135.180125501492,75.0,2672.0,34736.0,1145.0,283460.0,60868504.0,34027335.0,3,3
Alliance,OH,20010.73527270052,148371.7925431994,200.0,12327.0,176675.0,4653.0,967346.0,301211711.0,116122861.0,3,3
Allison,IA,168.94931161184647,825.662667670105,24.0,90.0,1486.0,60.0,12779.0,1608160.0,1534057.0,1,1
Allouez,WI,3219.51890569348,18074.709157325182,34.0,273.0,3646.0,110.0,21722.0,4758937.0,2607557.0,1,1
Alloway,NJ,844.7465580592324,4128.313338350525,47.0,698.0,6866.0,378.0,57347.0,13232410.0,6884059.0,2,2
Alma,AR,1726.8689232985237,12945.945984875763,40.0,136.0,2236.0,70.0,12107.0,4743545.0,1453385.0,1,1
Alma,MI,12183.88261997406,59007.562905317776,32.0,2808.0,40622.0,1299.0,225881.0,53021705.0,27115414.0,3,3
Alma Center,WI,863.4344616492618,6472.972992437884,6.0,52.0,690.0,21.0,4110.0,746682.0,493384.0,1,1
Almont,MI,13758.596629813432,68285.13411737912,20.0,265.0,3838.0,123.0,21339.0,5008933.0,2561579.0,2,1
Alpena,MI,5226.338161941262,21136.855775663214,47.0,7515.0,108731.0,3476.0,604606.0,141920674.0,72578538.0,3,3
Alpha,NJ,168.94931161184647,825.662667670105,16.0,147.0,1450.0,80.0,12114.0,2795179.0,1454170.0,1,1
Alpine,TX,1084.3329482115037,4236.023625564775,30.0,749.0,14064.0,542.0,204605.0,18832222.0,24561353.0,2,3
Alpine,UT,28479.305851724188,145240.07843691926,54.0,854.0,13501.0,313.0,56680.0,16652911.0,6804058.0,2,2
Alsace,PA,18258.03719702798,164469.19960086962,26.0,142.0,2051.0,68.0,9236.0,3952207.0,1108760.0,1,1
Alsip,IL,714911.4438098724,4491770.432431108,254.0,5731.0,88044.0,2585.0,513915.0,150105200.0,61691782.0,3,3
