state_abbr,r_elec_class,r_gas_class,c_elec_class,c_gas_class,i_elec_class,i_gas_class
AK,1,1,1.0,1.0,1.0,1.0
AL,1,1,0.0,0.0,0.0,0.0
AR,1,1,1.0,1.0,3.0,3.0
AZ,1,1,1.0,1.0,2.0,1.0
CA,1,1,1.0,1.0,3.0,3.0
CO,1,1,1.0,1.0,1.0,1.0
CT,1,1,1.0,1.0,2.0,2.0
DC,1,1,1.0,1.0,1.0,1.0
DE,1,1,1.0,1.0,3.0,3.0
FL,1,1,0.0,0.0,0.0,0.0
GA,1,1,1.0,1.0,1.0,1.0
HI,3,1,1.0,1.0,3.0,2.0
IA,1,1,1.0,1.0,3.0,3.0
ID,1,1,1.0,1.0,2.0,2.0
IL,1,1,1.0,1.0,3.0,3.0
IN,1,1,1.0,1.0,3.0,3.0
KS,1,1,1.0,1.0,1.0,2.0
KY,1,1,1.0,1.0,3.0,3.0
LA,1,1,1.0,1.0,2.0,3.0
MA,1,1,1.0,1.0,1.0,1.0
MD,1,1,1.0,1.0,1.0,1.0
ME,1,1,1.0,1.0,1.0,1.0
MI,1,1,1.0,1.0,3.0,1.0
MN,1,1,1.0,1.0,2.0,3.0
MO,1,1,1.0,1.0,1.0,1.0
MS,1,1,1.0,1.0,3.0,3.0
MT,1,1,1.0,1.0,2.0,2.0
NC,1,1,0.0,0.0,0.0,0.0
ND,1,1,1.0,1.0,3.0,3.0
NE,1,1,1.0,1.0,2.0,3.0
NH,1,1,1.0,1.0,1.0,1.0
NJ,1,1,1.0,1.0,1.0,2.0
NM,1,1,1.0,1.0,2.0,1.0
NV,1,1,1.0,1.0,3.0,3.0
NY,1,1,1.0,1.0,1.0,1.0
OH,1,1,1.0,1.0,3.0,3.0
OK,1,1,1.0,1.0,2.0,2.0
OR,1,1,1.0,1.0,3.0,1.0
PA,1,1,1.0,1.0,2.0,2.0
RI,1,1,1.0,1.0,2.0,2.0
SC,1,1,0.0,0.0,0.0,0.0
SD,1,1,1.0,1.0,1.0,2.0
TN,1,1,1.0,1.0,3.0,3.0
TX,1,1,1.0,1.0,3.0,3.0
UT,1,1,1.0,1.0,1.0,1.0
VA,1,1,1.0,1.0,1.0,1.0
VT,1,1,1.0,1.0,1.0,1.0
WA,1,1,1.0,1.0,3.0,1.0
WI,1,1,1.0,1.0,3.0,3.0
WV,1,1,0.0,0.0,0.0,0.0
WY,1,1,1.0,1.0,2.0,2.0
