city,state,type,value,dataclass
Abbeville,LA,i_elec_score,1032383.7732611082,Normal
Abbeville,LA,i_num_establishments,33500000.0,Normal
Abbeville,LA,i_elec_1kdollars,5010000.0,Normal
Abbeville,LA,i_elec_lb_ghg,15734217.0,Normal
Abbotsford,WI,i_elec_score,675797.2464473859,High
Abbotsford,WI,i_num_establishments,12500000.0,High
Abbotsford,WI,i_elec_1kdollars,31510000.0,High
Abbotsford,WI,i_elec_lb_ghg,45496597.0,High
Aberdeen,MD,i_elec_score,1626990.709734791,Normal
Aberdeen,MD,i_num_establishments,17500000.0,Normal
Aberdeen,MD,i_elec_1kdollars,7810000.0,Normal
Aberdeen,MD,i_elec_lb_ghg,19103260.0,Normal
Aberdeen,MS,i_elec_score,4694645.705607493,Very High
Aberdeen,MS,i_num_establishments,22500000.0,Very High
Aberdeen,MS,i_elec_1kdollars,38410000.0,Very High
Aberdeen,MS,i_elec_lb_ghg,111124788.0,Very High
Aberdeen,NJ,i_elec_score,35632945.911215775,Normal
Aberdeen,NJ,i_num_establishments,24000000.0,Normal
Aberdeen,NJ,i_elec_1kdollars,3520000.0,Normal
Aberdeen,NJ,i_elec_lb_ghg,6680699.0,Normal
Aberdeen,SD,i_elec_score,25050715.105908297,High
Aberdeen,SD,i_num_establishments,74000000.0,High
Aberdeen,SD,i_elec_1kdollars,17590000.0,High
Aberdeen,SD,i_elec_lb_ghg,25143707.0,High
Aberdeen,WA,i_elec_score,5276162.522273762,Normal
Aberdeen,WA,i_num_establishments,34500000.0,Normal
Aberdeen,WA,i_elec_1kdollars,2470000.0,Normal
Aberdeen,WA,i_elec_lb_ghg,6875006.0,Normal
Abernathy,TX,i_elec_score,542330.2365782637,Normal
Abernathy,TX,i_num_establishments,36500000.0,Normal
Abernathy,TX,i_elec_1kdollars,8590000.0,Normal
Abernathy,TX,i_elec_lb_ghg,34218263.0,Normal
Abilene,KS,i_elec_score,863434.4616492619,High
Abilene,KS,i_num_establishments,26000000.0,High
Abilene,KS,i_elec_1kdollars,26020000.0,High
