state_abbr,r_elec_class,r_gas_class,c_elec_class,c_gas_class,i_elec_class,i_gas_class
AK,Normal,Normal,Normal,Normal,Normal,Normal
AL,Normal,Normal,null,null,null,null
AR,Normal,Normal,Normal,Normal,Very High,Very High
AZ,Normal,Normal,Normal,Normal,High,Normal
CA,Normal,Normal,Normal,Normal,Very High,Very High
CO,Normal,Normal,Normal,Normal,Normal,Normal
CT,Normal,Normal,Normal,Normal,High,High
DC,Normal,Normal,Normal,Normal,Normal,Normal
DE,Normal,Normal,Normal,Normal,Very High,Very High
FL,Normal,Normal,null,null,null,null
GA,Normal,Normal,Normal,Normal,Normal,Normal
HI,Very High,Normal,Normal,Normal,Very High,High
IA,Normal,Normal,Normal,Normal,Very High,Very High
ID,Normal,Normal,Normal,Normal,High,High
IL,Normal,Normal,Normal,Normal,Very High,Very High
IN,Normal,Normal,Normal,Normal,Very High,Very High
KS,Normal,Normal,Normal,Normal,Normal,High
KY,Normal,Normal,Normal,Normal,Very High,Very High
LA,Normal,Normal,Normal,Normal,High,Very High
MA,Normal,Normal,Normal,Normal,Normal,Normal
MD,Normal,Normal,Normal,Normal,Normal,Normal
ME,Normal,Normal,Normal,Normal,Normal,Normal
MI,Normal,Normal,Normal,Normal,Very High,Normal
MN,Normal,Normal,Normal,Normal,High,Very High
MO,Normal,Normal,Normal,Normal,Normal,Normal
MS,Normal,Normal,Normal,Normal,Very High,Very High
MT,Normal,Normal,Normal,Normal,High,High
NC,Normal,Normal,null,null,null,null
ND,Normal,Normal,Normal,Normal,Very High,Very High
NE,Normal,Normal,Normal,Normal,High,Very High
NH,Normal,Normal,Normal,Normal,Normal,Normal
NJ,Normal,Normal,Normal,Normal,Normal,High
NM,Normal,Normal,Normal,Normal,High,Normal
NV,Normal,Normal,Normal,Normal,Very High,Very High
NY,Normal,Normal,Normal,Normal,Normal,Normal
OH,Normal,Normal,Normal,Normal,Very High,Very High
OK,Normal,Normal,Normal,Normal,High,High
OR,Normal,Normal,Normal,Normal,Very High,Normal
PA,Normal,Normal,Normal,Normal,High,High
RI,Normal,Normal,Normal,Normal,High,High
SC,Normal,Normal,null,null,null,null
SD,Normal,Normal,Normal,Normal,Normal,High
TN,Normal,Normal,Normal,Normal,Very High,Very High
TX,Normal,Normal,Normal,Normal,Very High,Very High
UT,Normal,Normal,Normal,Normal,Normal,Normal
VA,Normal,Normal,Normal,Normal,Normal,Normal
VT,Normal,Normal,Normal,Normal,Normal,Normal
WA,Normal,Normal,Normal,Normal,Very High,Normal
WI,Normal,Normal,Normal,Normal,Very High,Very High
WV,Normal,Normal,null,null,null,null
WY,Normal,Normal,Normal,Normal,High,High
