state_abbr i_elec_mwh
AK 15700.28
AR 13972.36
AZ 16116.50
CA 19717.59
CO 13642.43
CT 14617.45
DC 11525.00
DE 19579.58
GA 21685.00
HI 9253.00
IA 20317.80
ID 16100.64
IL 18168.20
IN 20571.59
KS 11924.41
KY 16700.83
LA 15715.25
MA 14276.13
MD 10963.67
ME 4746.40
MI 15307.18
MN 14889.02
MO 13087.47
MS 21319.41
MT 11868.50
ND 20798.22
NE 16866.10
NH 5777.69
NJ 9088.68
NM 12354.64
NV 16549.41
NY 10165.08
OH 23154.92
OK 10944.19
OR 14517.92
PA 15839.74
RI 13883.78
SD 10266.16
TN 17946.41
TX 15405.77
UT 12189.08
VA 15065.44
VT 5882.73
WA 16014.32
WI 18030.74
WY 24178.83
