city,state,type,value,dataclass
Abbeville,LA,c_elec_score,11369369.184999999,Very High
Abbeville,LA,c_num_establishments,31500000.0,Very High
Abbeville,LA,c_elec_1kdollars,36680000.0,Very High
Abbeville,LA,c_elec_lb_ghg,57242436.0,Very High
Abbot,ME,c_elec_score,1144399.901,Normal
Abbot,ME,c_num_establishments,500000.0,Normal
Abbot,ME,c_elec_1kdollars,230000.0,Normal
Abbot,ME,c_elec_lb_ghg,206707.0,Normal
Abbotsford,WI,c_elec_score,9301851.479999999,Normal
Abbotsford,WI,c_num_establishments,6100000.0,Normal
Abbotsford,WI,c_elec_1kdollars,5920000.0,Normal
Abbotsford,WI,c_elec_lb_ghg,6460008.0,Normal
Abbott,PA,c_elec_score,148840.385,Normal
Abbott,PA,c_num_establishments,600000.0,Normal
Abbott,PA,c_elec_1kdollars,250000.0,Normal
Abbott,PA,c_elec_lb_ghg,527464.0,Normal
Abbott,TX,c_elec_score,265591.0288999999,Normal
Abbott,TX,c_num_establishments,100000.0,Normal
Abbott,TX,c_elec_1kdollars,70000.0,Normal
Abbott,TX,c_elec_lb_ghg,113766.0,Normal
Abbottstown,PA,c_elec_score,275161.8853999999,Normal
Abbottstown,PA,c_num_establishments,1900000.0,Normal
Abbottstown,PA,c_elec_1kdollars,830000.0,Normal
Abbottstown,PA,c_elec_lb_ghg,1659700.0,Normal
Abbyville,KS,c_elec_score,127909.75795,Normal
Abbyville,KS,c_num_establishments,200000.0,Normal
Abbyville,KS,c_elec_1kdollars,270000.0,Normal
Abbyville,KS,c_elec_lb_ghg,477452.0,Normal
Abercrombie,MN,c_elec_score,124535.86104999999,Normal
Abercrombie,MN,c_num_establishments,1600000.0,Normal
Abercrombie,MN,c_elec_1kdollars,1270000.0,Normal
Abercrombie,MN,c_elec_lb_ghg,1414897.0,Normal
Abercrombie,ND,c_elec_score,249071.72205000004,Normal
Abercrombie,ND,c_num_establishments,1600000.0,Normal
Abercrombie,ND,c_elec_1kdollars,1270000.0,Normal
Abercrombie,ND,c_elec_lb_ghg,1414897.0,Normal
Aberdeen,ID,c_elec_score,1439664.391,Normal
Aberdeen,ID,c_num_establishments,4700000.0,Normal
Aberdeen,ID,c_elec_1kdollars,2450000.0,Normal
Aberdeen,ID,c_elec_lb_ghg,3902778.0,Normal
Aberdeen,MS,c_elec_score,10695163.6,Very High
Aberdeen,MS,c_num_establishments,14300000.0,Very High
Aberdeen,MS,c_elec_1kdollars,40490000.0,Very High
Aberdeen,MS,c_elec_lb_ghg,64354095.0,Very High
Aberdeen,NJ,c_elec_score,3110960.0,Very High
Aberdeen,NJ,c_num_establishments,26600000.0,Very High
Aberdeen,NJ,c_elec_1kdollars,42230000.0,Very High
Aberdeen,NJ,c_elec_lb_ghg,69555106.0,Very High
Aberdeen,SD,c_elec_score,3110960.0,Normal
Aberdeen,SD,c_num_establishments,4200000.0,Normal
Aberdeen,SD,c_elec_1kdollars,4170000.0,Normal
Aberdeen,SD,c_elec_lb_ghg,6139039.0,Normal
Aberdeen,WA,c_elec_score,3110960.0,Normal
Aberdeen,WA,c_num_establishments,30800000.0,Normal
Aberdeen,WA,c_elec_1kdollars,4170000.0,Normal
Aberdeen,WA,c_elec_lb_ghg,6139039.0,Normal
Abernathy,TX,c_elec_score,2995716.3085000003,Normal
Abernathy,TX,c_num_establishments,7100000.0,Normal
Abernathy,TX,c_elec_1kdollars,5830000.0,Normal
Abernathy,TX,c_elec_lb_ghg,14740967.0,Normal
Abilene,KS,c_elec_score,14574800.37,Very High
Abilene,KS,c_num_establishments,19500000.0,Very High
Abilene,KS,c_elec_1kdollars,33930000.0,Very High
Abilene,KS,c_elec_lb_ghg,61531686.0,Very High
Abilene,TX,c_elec_score,3110960.0,Normal
Abilene,TX,c_num_establishments,4200000.0,Normal
Abilene,TX,c_elec_1kdollars,4170000.0,Normal
Abilene,TX,c_elec_lb_ghg,6139039.0,Normal
Abingdon,IL,c_elec_score,2831945.4255,Normal
Abingdon,IL,c_num_establishments,6600000.0,Normal
Abingdon,IL,c_elec_1kdollars,5770000.0,Normal
Abingdon,IL,c_elec_lb_ghg,6631549.0,Normal
Abington,MA,c_elec_score,3110960.0,Very High
Abington,MA,c_num_establishments,31800000.0,Very High
Abington,MA,c_elec_1kdollars,4170000.0,Very High
Abington,MA,c_elec_lb_ghg,48676337.0,Very High
Abington,PA,c_elec_score,3110960.0,Normal
Abington,PA,c_num_establishments,4200000.0,Normal
Abington,PA,c_elec_1kdollars,4170000.0,Normal
Abington,PA,c_elec_lb_ghg,6139039.0,Normal
Abita Springs,LA,c_elec_score,6791354.865,Normal
Abita Springs,LA,c_num_establishments,4900000.0,Normal
Abita Springs,LA,c_elec_1kdollars,8500000.0,Normal
Abita Springs,LA,c_elec_lb_ghg,15455230.0,Normal
Abrams,WI,c_elec_score,54438.65195000001,Normal
Abrams,WI,c_num_establishments,1100000.0,Normal
Abrams,WI,c_elec_1kdollars,950000.0,Normal
Abrams,WI,c_elec_lb_ghg,1334366.0,Normal
Absecon,NJ,c_elec_score,3110960.0,High
Absecon,NJ,c_num_establishments,15200000.0,High
Absecon,NJ,c_elec_1kdollars,21930000.0,High
Absecon,NJ,c_elec_lb_ghg,29522769.0,High
Accident,MD,c_elec_score,851385.7955,Normal
Accident,MD,c_num_establishments,1800000.0,Normal
Accident,MD,c_elec_1kdollars,870000.0,Normal
Accident,MD,c_elec_lb_ghg,1443692.0,Normal
Acequia,ID,c_elec_score,156813.0155,Normal
Acequia,ID,c_num_establishments,500000.0,Normal
Acequia,ID,c_elec_1kdollars,250000.0,Normal
Acequia,ID,c_elec_lb_ghg,400645.0,Normal
Achille,OK,c_elec_score,36426.248715,Normal
Achille,OK,c_num_establishments,300000.0,Normal
Achille,OK,c_elec_1kdollars,250000.0,Normal
Achille,OK,c_elec_lb_ghg,688831.0,Normal
Ackerman,MS,c_elec_score,6235510.245,Normal
Ackerman,MS,c_num_establishments,2900000.0,Normal
Ackerman,MS,c_elec_1kdollars,3470000.0,Normal
Ackerman,MS,c_elec_lb_ghg,4567854.0,Normal
Ackley,IA,c_elec_score,2049035.9995,Normal
Ackley,IA,c_num_establishments,5600000.0,Normal
Ackley,IA,c_elec_1kdollars,2540000.0,Normal
Ackley,IA,c_elec_lb_ghg,3012508.0,Normal
Acton,MA,c_elec_score,3110960.0,Normal
Acton,MA,c_num_establishments,4200000.0,Normal
Acton,MA,c_elec_1kdollars,4170000.0,Normal
Acton,MA,c_elec_lb_ghg,54245941.0,Normal
Acton,ME,c_elec_score,4768208.559,Normal
Acton,ME,c_num_establishments,3500000.0,Normal
Acton,ME,c_elec_1kdollars,2230000.0,Normal
Acton,ME,c_elec_lb_ghg,2024037.0,Normal
Acton,NH,c_elec_score,2860925.1355000003,Normal
Acton,NH,c_num_establishments,3500000.0,Normal
Acton,NH,c_elec_1kdollars,2230000.0,Normal
Acton,NH,c_elec_lb_ghg,2024037.0,Normal
Acushnet,MA,c_elec_score,3110960.0,Normal
Acushnet,MA,c_num_establishments,16300000.0,Normal
Acushnet,MA,c_elec_1kdollars,15660000.0,Normal
Acushnet,MA,c_elec_lb_ghg,10316630.0,Normal
Acworth,NH,c_elec_score,338695.6985,Normal
Acworth,NH,c_num_establishments,600000.0,Normal
Acworth,NH,c_elec_1kdollars,580000.0,Normal
Acworth,NH,c_elec_lb_ghg,436333.0,Normal
Ada,MN,c_elec_score,7386078.3549999995,Normal
Ada,MN,c_num_establishments,5300000.0,Normal
Ada,MN,c_elec_1kdollars,7330000.0,Normal
Ada,MN,c_elec_lb_ghg,7988601.0,Normal
Ada,OH,c_elec_score,3104610.776,Normal
Ada,OH,c_num_establishments,7400000.0,Normal
Ada,OH,c_elec_1kdollars,5940000.0,Normal
Ada,OH,c_elec_lb_ghg,10006792.0,Normal
Ada,OK,c_elec_score,3110960.0,Normal
Ada,OK,c_num_establishments,4200000.0,Normal
Ada,OK,c_elec_1kdollars,4170000.0,Normal
Ada,OK,c_elec_lb_ghg,6139039.0,Normal
Adair,IA,c_elec_score,1036098.3605000003,Normal
Adair,IA,c_num_establishments,2900000.0,Normal
Adair,IA,c_elec_1kdollars,1260000.0,Normal
Adair,IA,c_elec_lb_ghg,1495418.0,Normal
Adair,OK,c_elec_score,453489.75364999997,Normal
Adair,OK,c_num_establishments,1100000.0,Normal
Adair,OK,c_elec_1kdollars,1220000.0,Normal
Adair,OK,c_elec_lb_ghg,3412069.0,Normal
Adair Village,OR,c_elec_score,275446.148,Normal
Adair Village,OR,c_num_establishments,600000.0,Normal
Adair Village,OR,c_elec_1kdollars,1180000.0,Normal
Adair Village,OR,c_elec_lb_ghg,1585439.0,Normal
Adams,MA,c_elec_score,21561829.07,High
Adams,MA,c_num_establishments,16000000.0,High
Adams,MA,c_elec_1kdollars,42550000.0,High
Adams,MA,c_elec_lb_ghg,31181355.0,High
Adams,MN,c_elec_score,1006943.1880000001,Normal
Adams,MN,c_num_establishments,2300000.0,Normal
Adams,MN,c_elec_1kdollars,3210000.0,Normal
Adams,MN,c_elec_lb_ghg,3686416.0,Normal
Adams,ND,c_elec_score,362851.69335,Normal
Adams,ND,c_num_establishments,600000.0,Normal
Adams,ND,c_elec_1kdollars,790000.0,Normal
Adams,ND,c_elec_lb_ghg,1093545.0,Normal
Adams,NE,c_elec_score,1187406.1325,Normal
Adams,NE,c_num_establishments,500000.0,Normal
Adams,NE,c_elec_1kdollars,50000.0,Normal
Adams,NE,c_elec_lb_ghg,51078.0,Normal
Adams,NY,c_elec_score,22528060.605000004,High
Adams,NY,c_num_establishments,8200000.0,High
Adams,NY,c_elec_1kdollars,15300000.0,High
Adams,NY,c_elec_lb_ghg,26206763.0,High
Adams,PA,c_elec_score,15466632.994999997,High
Adams,PA,c_num_establishments,23900000.0,High
Adams,PA,c_elec_1kdollars,20210000.0,High
Adams,PA,c_elec_lb_ghg,39040076.0,High
Adams,WI,c_elec_score,6654452.12,Normal
Adams,WI,c_num_establishments,6300000.0,Normal
Adams,WI,c_elec_1kdollars,5130000.0,Normal
Adams,WI,c_elec_lb_ghg,5933388.0,Normal
Adamstown,PA,c_elec_score,3514844.6064999998,Normal
Adamstown,PA,c_num_establishments,2100000.0,Normal
Adamstown,PA,c_elec_1kdollars,4750000.0,Normal
Adamstown,PA,c_elec_lb_ghg,10702624.0,Normal
Adamsville,TN,c_elec_score,6083146.225000001,Normal
