city,state,type,value,dataclass
Abbeville,LA,c_gas_score,3611803.66,Very High
Abbeville,LA,c_num_establishments,15750000.0,Very High
Abbeville,LA,c_gas_1kdollars,5850000.0,Very High
Abbeville,LA,c_gas_lb_ghg,8873594.0,Very High
Abbot,ME,c_gas_score,432958.5529,Normal
Abbot,ME,c_num_establishments,250000.0,Normal
Abbot,ME,c_gas_1kdollars,0.0,Normal
Abbot,ME,c_gas_lb_ghg,0.0,Normal
Abbotsford,WI,c_gas_score,2644440.527,Normal
Abbotsford,WI,c_num_establishments,3050000.0,Normal
Abbotsford,WI,c_gas_1kdollars,1080000.0,Normal
Abbotsford,WI,c_gas_lb_ghg,1973481.0,Normal
Abbott,PA,c_gas_score,65163.89253,Normal
Abbott,PA,c_num_establishments,300000.0,Normal
Abbott,PA,c_gas_1kdollars,50000.0,Normal
Abbott,PA,c_gas_lb_ghg,81991.0,Normal
Abbott,TX,c_gas_score,92826.73363999999,Normal
Abbott,TX,c_num_establishments,50000.0,Normal
Abbott,TX,c_gas_1kdollars,10000.0,Normal
Abbott,TX,c_gas_lb_ghg,13929.0,Normal
Abbottstown,PA,c_gas_score,76671.34151,Normal
Abbottstown,PA,c_num_establishments,950000.0,Normal
Abbottstown,PA,c_gas_1kdollars,860000.0,Normal
Abbottstown,PA,c_gas_lb_ghg,1316795.0,Normal
Abbyville,KS,c_gas_score,22596.31902,Normal
Abbyville,KS,c_num_establishments,100000.0,Normal
Abbyville,KS,c_gas_1kdollars,30000.0,Normal
Abbyville,KS,c_gas_lb_ghg,55927.0,Normal
Abercrombie,MN,c_gas_score,67224.5875,Normal
Abercrombie,MN,c_num_establishments,800000.0,Normal
Abercrombie,MN,c_gas_1kdollars,0.0,Normal
Abercrombie,MN,c_gas_lb_ghg,1081.0,Normal
Abercrombie,ND,c_gas_score,134449.175,Normal
Abercrombie,ND,c_num_establishments,800000.0,Normal
Abercrombie,ND,c_gas_1kdollars,0.0,Normal
Abercrombie,ND,c_gas_lb_ghg,1081.0,Normal
Aberdeen,ID,c_gas_score,373112.46170000004,Normal
Aberdeen,ID,c_num_establishments,2350000.0,Normal
Aberdeen,ID,c_gas_1kdollars,1460000.0,Normal
Aberdeen,ID,c_gas_lb_ghg,2484084.0,Normal
Aberdeen,MS,c_gas_score,5069334.645,Normal
Aberdeen,MS,c_num_establishments,7150000.0,Normal
Aberdeen,MS,c_gas_1kdollars,1190000.0,Normal
Aberdeen,MS,c_gas_lb_ghg,1978975.0,Normal
Aberdeen,NJ,c_gas_score,1016881.0,Very High
Aberdeen,NJ,c_num_establishments,13300000.0,Very High
Aberdeen,NJ,c_gas_1kdollars,470000.0,Very High
Aberdeen,NJ,c_gas_lb_ghg,14061141.0,Very High
Aberdeen,SD,c_gas_score,16759120.22,Normal
Aberdeen,SD,c_num_establishments,2100000.0,Normal
Aberdeen,SD,c_gas_1kdollars,1230000.0,Normal
Aberdeen,SD,c_gas_lb_ghg,2538875.0,Normal
Aberdeen,WA,c_gas_score,1016881.0,Very High
Aberdeen,WA,c_num_establishments,15400000.0,Very High
Aberdeen,WA,c_gas_1kdollars,470000.0,Very High
Aberdeen,WA,c_gas_lb_ghg,13978929.0,Very High
Abernathy,TX,c_gas_score,748817.451,Normal
Abernathy,TX,c_num_establishments,3550000.0,Normal
Abernathy,TX,c_gas_1kdollars,1080000.0,Normal
Abernathy,TX,c_gas_lb_ghg,1952553.0,Normal
Abilene,KS,c_gas_score,6438632.551,Very High
Abilene,KS,c_num_establishments,9750000.0,Very High
Abilene,KS,c_gas_1kdollars,5840000.0,Very High
Abilene,KS,c_gas_lb_ghg,9578790.0,Very High
Abilene,TX,c_gas_score,1016881.0,Normal
Abilene,TX,c_num_establishments,2100000.0,Normal
Abilene,TX,c_gas_1kdollars,470000.0,Normal
Abilene,TX,c_gas_lb_ghg,842786.0,Normal
Abingdon,IL,c_gas_score,973833.0568000001,Normal
Abingdon,IL,c_num_establishments,3300000.0,Normal
Abingdon,IL,c_gas_1kdollars,0.0,Normal
Abingdon,IL,c_gas_lb_ghg,0.0,Normal
Abington,MA,c_gas_score,1016881.0,Normal
Abington,MA,c_num_establishments,15900000.0,Normal
Abington,MA,c_gas_1kdollars,470000.0,Normal
Abington,MA,c_gas_lb_ghg,842786.0,Normal
Abington,PA,c_gas_score,1016881.0,Normal
Abington,PA,c_num_establishments,2100000.0,Normal
Abington,PA,c_gas_1kdollars,470000.0,Normal
Abington,PA,c_gas_lb_ghg,842786.0,Normal
Abita Springs,LA,c_gas_score,1916536.4990000003,Normal
Abita Springs,LA,c_num_establishments,2450000.0,Normal
Abita Springs,LA,c_gas_1kdollars,740000.0,Normal
Abita Springs,LA,c_gas_lb_ghg,1120401.0,Normal
Abrams,WI,c_gas_score,22151.944269999996,Normal
Abrams,WI,c_num_establishments,550000.0,Normal
Abrams,WI,c_gas_1kdollars,260000.0,Normal
Abrams,WI,c_gas_lb_ghg,478825.0,Normal
Absecon,NJ,c_gas_score,1016881.0,Normal
Absecon,NJ,c_num_establishments,7600000.0,Normal
Absecon,NJ,c_gas_1kdollars,0.0,Normal
Absecon,NJ,c_gas_lb_ghg,1043.0,Normal
Accident,MD,c_gas_score,319922.5043,Normal
Accident,MD,c_num_establishments,900000.0,Normal
Accident,MD,c_gas_1kdollars,300000.0,Normal
Accident,MD,c_gas_lb_ghg,421347.0,Normal
Acequia,ID,c_gas_score,79446.48392000001,Normal
Acequia,ID,c_num_establishments,250000.0,Normal
Acequia,ID,c_gas_1kdollars,140000.0,Normal
Acequia,ID,c_gas_lb_ghg,230134.0,Normal
Achille,OK,c_gas_score,15985.100409999995,Normal
Achille,OK,c_num_establishments,150000.0,Normal
Achille,OK,c_gas_1kdollars,40000.0,Normal
Achille,OK,c_gas_lb_ghg,68660.0,Normal
Ackerman,MS,c_gas_score,3577153.416,Normal
Ackerman,MS,c_num_establishments,1450000.0,Normal
Ackerman,MS,c_gas_1kdollars,280000.0,Normal
Ackerman,MS,c_gas_lb_ghg,460263.0,Normal
Ackley,IA,c_gas_score,670463.9299,Normal
Ackley,IA,c_num_establishments,2800000.0,Normal
Ackley,IA,c_gas_1kdollars,860000.0,Normal
Ackley,IA,c_gas_lb_ghg,1711875.0,Normal
Acton,MA,c_gas_score,1016881.0,Normal
Acton,MA,c_num_establishments,2100000.0,Normal
Acton,MA,c_gas_1kdollars,470000.0,Normal
Acton,MA,c_gas_lb_ghg,842786.0,Normal
Acton,ME,c_gas_score,1563529.48,Normal
Acton,ME,c_num_establishments,1750000.0,Normal
Acton,ME,c_gas_1kdollars,400000.0,Normal
Acton,ME,c_gas_lb_ghg,456965.0,Normal
Acton,NH,c_gas_score,938117.6879,Normal
Acton,NH,c_num_establishments,1750000.0,Normal
Acton,NH,c_gas_1kdollars,400000.0,Normal
Acton,NH,c_gas_lb_ghg,456965.0,Normal
Acushnet,MA,c_gas_score,1016881.0,High
Acushnet,MA,c_num_establishments,8150000.0,High
Acushnet,MA,c_gas_1kdollars,5180000.0,High
Acushnet,MA,c_gas_lb_ghg,8010036.0,High
Acworth,NH,c_gas_score,121226.6615,Normal
Acworth,NH,c_num_establishments,300000.0,Normal
Acworth,NH,c_gas_1kdollars,0.0,Normal
Acworth,NH,c_gas_lb_ghg,0.0,Normal
Ada,MN,c_gas_score,4048089.01,Normal
Ada,MN,c_num_establishments,2650000.0,Normal
Ada,MN,c_gas_1kdollars,0.0,Normal
Ada,MN,c_gas_lb_ghg,549.0,Normal
Ada,OH,c_gas_score,1003958.2350000001,Normal
Ada,OH,c_num_establishments,3700000.0,Normal
Ada,OH,c_gas_1kdollars,870000.0,Normal
Ada,OH,c_gas_lb_ghg,1902018.0,Normal
Ada,OK,c_gas_score,1016881.0,High
Ada,OK,c_num_establishments,2100000.0,High
Ada,OK,c_gas_1kdollars,2310000.0,High
Ada,OK,c_gas_lb_ghg,4035261.0,High
Adair,IA,c_gas_score,309269.2203,Normal
Adair,IA,c_num_establishments,1450000.0,Normal
Adair,IA,c_gas_1kdollars,670000.0,Normal
Adair,IA,c_gas_lb_ghg,1334166.0,Normal
Adair,OK,c_gas_score,127491.7941,Normal
Adair,OK,c_num_establishments,550000.0,Normal
Adair,OK,c_gas_1kdollars,0.0,Normal
Adair,OK,c_gas_lb_ghg,0.0,Normal
Adair Village,OR,c_gas_score,145921.5692,Normal
Adair Village,OR,c_num_establishments,300000.0,Normal
Adair Village,OR,c_gas_1kdollars,100000.0,Normal
Adair Village,OR,c_gas_lb_ghg,126553.0,Normal
Adams,MA,c_gas_score,6831715.992000001,Very High
Adams,MA,c_num_establishments,8000000.0,Very High
Adams,MA,c_gas_1kdollars,8250000.0,Very High
Adams,MA,c_gas_lb_ghg,11082454.0,Very High
Adams,MN,c_gas_score,286744.7263,Normal
Adams,MN,c_num_establishments,1150000.0,Normal
Adams,MN,c_gas_1kdollars,0.0,Normal
Adams,MN,c_gas_lb_ghg,0.0,Normal
Adams,ND,c_gas_score,83959.32541000003,Normal
Adams,ND,c_num_establishments,300000.0,Normal
Adams,ND,c_gas_1kdollars,50000.0,Normal
Adams,ND,c_gas_lb_ghg,115798.0,Normal
Adams,NE,c_gas_score,384097.93789999996,Normal
Adams,NE,c_num_establishments,250000.0,Normal
Adams,NE,c_gas_1kdollars,40000.0,Normal
Adams,NE,c_gas_lb_ghg,82109.0,Normal
Adams,NY,c_gas_score,7092988.975000001,High
Adams,NY,c_num_establishments,4100000.0,High
Adams,NY,c_gas_1kdollars,1940000.0,High
Adams,NY,c_gas_lb_ghg,4630284.0,High
Adams,PA,c_gas_score,5489143.48,Normal
Adams,PA,c_num_establishments,11950000.0,Normal
Adams,PA,c_gas_1kdollars,0.0,Normal
Adams,PA,c_gas_lb_ghg,6.0,Normal
Adams,WI,c_gas_score,2122648.6890000002,Normal
Adams,WI,c_num_establishments,3150000.0,Normal
Adams,WI,c_gas_1kdollars,1510000.0,Normal
Adams,WI,c_gas_lb_ghg,2666261.0,Normal
Adamstown,PA,c_gas_score,1042545.5700000001,Normal
Adamstown,PA,c_num_establishments,1050000.0,Normal
Adamstown,PA,c_gas_1kdollars,910000.0,Normal
Adamstown,PA,c_gas_lb_ghg,1338443.0,Normal
Adamsville,TN,c_gas_score,2012123.633,Normal
Adamsville,TN,c_num_establishments,4600000.0,Normal
Adamsville,TN,c_gas_1kdollars,0.0,Normal
Adamsville,TN,c_gas_lb_ghg,2966.0,Normal
Addieville,IL,c_gas_score,87233.79904999997,Normal
Addieville,IL,c_num_establishments,350000.0,Normal
Addieville,IL,c_gas_1kdollars,0.0,Normal
Addieville,IL,c_gas_lb_ghg,0.0,Normal
Addis,LA,c_gas_score,631962.6629,Normal
Addis,LA,c_num_establishments,1350000.0,Normal
Addis,LA,c_gas_1kdollars,0.0,Normal
Addis,LA,c_gas_lb_ghg,18.0,Normal
Addison,IL,c_gas_score,1016881.0,Normal
Addison,IL,c_num_establishments,2100000.0,Normal
Addison,IL,c_gas_1kdollars,470000.0,Normal
Addison,IL,c_gas_lb_ghg,842786.0,Normal
Addison,MD,c_gas_score,753718.4762999997,Normal
Addison,MD,c_num_establishments,950000.0,Normal
Addison,MD,c_gas_1kdollars,550000.0,Normal
Addison,MD,c_gas_lb_ghg,843141.0,Normal
Addison,ME,c_gas_score,887088.1083,Normal
Addison,ME,c_num_establishments,600000.0,Normal
Addison,ME,c_gas_1kdollars,0.0,Normal
Addison,ME,c_gas_lb_ghg,0.0,Normal
Addison,MI,c_gas_score,38789.63227,Normal
Addison,MI,c_num_establishments,1900000.0,Normal
Addison,MI,c_gas_1kdollars,660000.0,Normal
Addison,MI,c_gas_lb_ghg,1216891.0,Normal
Addison,NY,c_gas_score,1359013.741,Normal
Addison,NY,c_num_establishments,3000000.0,Normal
Addison,NY,c_gas_1kdollars,1260000.0,Normal
Addison,NY,c_gas_lb_ghg,2162948.0,Normal
Addison,PA,c_gas_score,528320.7538000002,Normal
Addison,PA,c_num_establishments,1200000.0,Normal
Addison,PA,c_gas_1kdollars,710000.0,Normal
Addison,PA,c_gas_lb_ghg,1084364.0,Normal
Addison,VT,c_gas_score,2352757.316,Normal
Addison,VT,c_num_establishments,1600000.0,Normal
Addison,VT,c_gas_1kdollars,0.0,Normal
Addison,VT,c_gas_lb_ghg,0.0,Normal
Addyston,KY,c_gas_score,143457.7906,Normal
Addyston,KY,c_num_establishments,550000.0,Normal
Addyston,KY,c_gas_1kdollars,420000.0,Normal
Addyston,KY,c_gas_lb_ghg,678431.0,Normal
Addyston,OH,c_gas_score,430373.3717,Normal
Addyston,OH,c_num_establishments,550000.0,Normal
Addyston,OH,c_gas_1kdollars,420000.0,Normal
Addyston,OH,c_gas_lb_ghg,678431.0,Normal
Adel,IA,c_gas_score,1900530.269,High
Adel,IA,c_num_establishments,5050000.0,High
Adel,IA,c_gas_1kdollars,2930000.0,High
Adel,IA,c_gas_lb_ghg,5983374.0,High
Adelanto,CA,c_gas_score,6977726.397,High
Adelanto,CA,c_num_establishments,5450000.0,High
Adelanto,CA,c_gas_1kdollars,3550000.0,High
Adelanto,CA,c_gas_lb_ghg,3906906.0,High
Adell,WI,c_gas_score,231903.65480000002,Normal
Adell,WI,c_num_establishments,550000.0,Normal
Adell,WI,c_gas_1kdollars,210000.0,Normal
Adell,WI,c_gas_lb_ghg,367649.0,Normal
Adena,OH,c_gas_score,553125.0224,Normal
Adena,OH,c_num_establishments,700000.0,Normal
Adena,OH,c_gas_1kdollars,40000.0,Normal
Adena,OH,c_gas_lb_ghg,79463.0,Normal
Admire,KS,c_gas_score,6166.8438559999995,Normal
Admire,KS,c_num_establishments,100000.0,Normal
Admire,KS,c_gas_1kdollars,0.0,Normal
Admire,KS,c_gas_lb_ghg,30.0,Normal
Adrian,MI,c_gas_score,10503320.38,Normal
Adrian,MI,c_num_establishments,2100000.0,Normal
Adrian,MI,c_gas_1kdollars,470000.0,Normal
Adrian,MI,c_gas_lb_ghg,842786.0,Normal
Adrian,TX,c_gas_score,73871.93549,Normal
Adrian,TX,c_num_establishments,100000.0,Normal
Adrian,TX,c_gas_1kdollars,20000.0,Normal
Adrian,TX,c_gas_lb_ghg,34062.0,Normal
Advance,IN,c_gas_score,55940.23553999998,Normal
Advance,IN,c_num_establishments,50000.0,Normal
Advance,IN,c_gas_1kdollars,30000.0,Normal
Advance,IN,c_gas_lb_ghg,42638.0,Normal
Afton,IA,c_gas_score,357857.41130000004,Normal
Afton,IA,c_num_establishments,1000000.0,Normal
Afton,IA,c_gas_1kdollars,300000.0,Normal
Afton,IA,c_gas_lb_ghg,567286.0,Normal
Afton,MN,c_gas_score,7822598.646,High
Afton,MN,c_num_establishments,2350000.0,High
Afton,MN,c_gas_1kdollars,2380000.0,High
Afton,MN,c_gas_lb_ghg,4749128.0,High
Afton,NY,c_gas_score,5130989.947,Normal
Afton,NY,c_num_establishments,3300000.0,Normal
Afton,NY,c_gas_1kdollars,0.0,Normal
Afton,NY,c_gas_lb_ghg,0.0,Normal
Afton,OK,c_gas_score,127570.73849999999,Normal
Afton,OK,c_num_establishments,800000.0,Normal
Afton,OK,c_gas_1kdollars,70000.0,Normal
Afton,OK,c_gas_lb_ghg,125864.0,Normal
Afton,WI,c_gas_score,2607532.8819999998,High
Afton,WI,c_num_establishments,2350000.0,High
Afton,WI,c_gas_1kdollars,2380000.0,High
Afton,WI,c_gas_lb_ghg,4749128.0,High
Afton,WY,c_gas_score,4846306.116000001,High
Afton,WY,c_num_establishments,3700000.0,High
Afton,WY,c_gas_1kdollars,3450000.0,High
Afton,WY,c_gas_lb_ghg,4464163.0,High
Agar,SD,c_gas_score,102918.25310000003,Normal
Agar,SD,c_num_establishments,100000.0,Normal
Agar,SD,c_gas_1kdollars,20000.0,Normal
Agar,SD,c_gas_lb_ghg,50592.0,Normal
Agawam Town,CT,c_gas_score,1016881.0,Normal
Agawam Town,CT,c_num_establishments,2100000.0,Normal
Agawam Town,CT,c_gas_1kdollars,470000.0,Normal
Agawam Town,CT,c_gas_lb_ghg,842786.0,Normal
Agawam Town,MA,c_gas_score,1016881.0,Normal
Agawam Town,MA,c_num_establishments,2100000.0,Normal
Agawam Town,MA,c_gas_1kdollars,470000.0,Normal
Agawam Town,MA,c_gas_lb_ghg,842786.0,Normal
Agency,IA,c_gas_score,184808.0593,Normal
Agency,IA,c_num_establishments,900000.0,Normal
Agency,IA,c_gas_1kdollars,270000.0,Normal
Agency,IA,c_gas_lb_ghg,531762.0,Normal
Agoura Hills,CA,c_gas_score,1016881.0,High
Agoura Hills,CA,c_num_establishments,17100000.0,High
Agoura Hills,CA,c_gas_1kdollars,6090000.0,High
Agoura Hills,CA,c_gas_lb_ghg,8555783.0,High
Agra,KS,c_gas_score,87890.98597000004,Normal
Agra,KS,c_num_establishments,650000.0,Normal
Agra,KS,c_gas_1kdollars,380000.0,Normal
Agra,KS,c_gas_lb_ghg,625733.0,Normal
Agra,OK,c_gas_score,116593.3395,Normal
Agra,OK,c_num_establishments,550000.0,Normal
Agra,OK,c_gas_1kdollars,170000.0,Normal
Agra,OK,c_gas_lb_ghg,289478.0,Normal
Agua Dulce,TX,c_gas_score,44038.47892,Normal
Agua Dulce,TX,c_num_establishments,700000.0,Normal
Agua Dulce,TX,c_gas_1kdollars,230000.0,Normal
Agua Dulce,TX,c_gas_lb_ghg,427491.0,Normal
Aguilar,CO,c_gas_score,146363.85189999998,Normal
Aguilar,CO,c_num_establishments,400000.0,Normal
Aguilar,CO,c_gas_1kdollars,60000.0,Normal
Aguilar,CO,c_gas_lb_ghg,141532.0,Normal
Ahmeek,MI,c_gas_score,91253.38808,Normal
Ahmeek,MI,c_num_establishments,100000.0,Normal
Ahmeek,MI,c_gas_1kdollars,0.0,Normal
Ahmeek,MI,c_gas_lb_ghg,0.0,Normal
Ainsworth,IA,c_gas_score,15985.100409999995,Normal
Ainsworth,IA,c_num_establishments,500000.0,Normal
Ainsworth,IA,c_gas_1kdollars,200000.0,Normal
Ainsworth,IA,c_gas_lb_ghg,374852.0,Normal
Ainsworth,NE,c_gas_score,4038894.384,Normal
Ainsworth,NE,c_num_establishments,2950000.0,Normal
Ainsworth,NE,c_gas_1kdollars,0.0,Normal
Ainsworth,NE,c_gas_lb_ghg,0.0,Normal
Airway Heights,WA,c_gas_score,4495817.132,High
Airway Heights,WA,c_num_establishments,7600000.0,High
Airway Heights,WA,c_gas_1kdollars,4180000.0,High
Airway Heights,WA,c_gas_lb_ghg,6176803.0,High
Aitkin,MN,c_gas_score,1414417.9330000002,Normal
Aitkin,MN,c_num_establishments,3600000.0,Normal
Aitkin,MN,c_gas_1kdollars,0.0,Normal
Aitkin,MN,c_gas_lb_ghg,7412.0,Normal
Akeley,MN,c_gas_score,105383.349,Normal
Akeley,MN,c_num_establishments,650000.0,Normal
Akeley,MN,c_gas_1kdollars,0.0,Normal
Akeley,MN,c_gas_lb_ghg,0.0,Normal
Akron,CO,c_gas_score,259700.4327,Normal
Akron,CO,c_num_establishments,2400000.0,Normal
Akron,CO,c_gas_1kdollars,420000.0,Normal
Akron,CO,c_gas_lb_ghg,919902.0,Normal
Akron,IA,c_gas_score,509575.9413000002,Normal
Akron,IA,c_num_establishments,1550000.0,Normal
Akron,IA,c_gas_1kdollars,400000.0,Normal
Akron,IA,c_gas_lb_ghg,817654.0,Normal
Akron,IN,c_gas_score,184442.0896,Normal
Akron,IN,c_num_establishments,1200000.0,Normal
Akron,IN,c_gas_1kdollars,450000.0,Normal
Akron,IN,c_gas_lb_ghg,903910.0,Normal
Akron,MI,c_gas_score,273005.8672,Normal
Akron,MI,c_num_establishments,450000.0,Normal
Akron,MI,c_gas_1kdollars,150000.0,Normal
Akron,MI,c_gas_lb_ghg,276018.0,Normal
Akron,OH,c_gas_score,1016881.0,Normal
Akron,OH,c_num_establishments,2100000.0,Normal
Akron,OH,c_gas_1kdollars,470000.0,Normal
Akron,OH,c_gas_lb_ghg,842786.0,Normal
Alabama,NY,c_gas_score,770040.8584000003,Normal
Alabama,NY,c_num_establishments,1050000.0,Normal
Alabama,NY,c_gas_1kdollars,540000.0,Normal
Alabama,NY,c_gas_lb_ghg,1216842.0,Normal
Alameda,CA,c_gas_score,1016881.0,Normal
Alameda,CA,c_num_establishments,2100000.0,Normal
Alameda,CA,c_gas_1kdollars,470000.0,Normal
Alameda,CA,c_gas_lb_ghg,842786.0,Normal
Alamo,TN,c_gas_score,1642755.649,Normal
Alamo,TN,c_num_establishments,4050000.0,Normal
Alamo,TN,c_gas_1kdollars,0.0,Normal
Alamo,TN,c_gas_lb_ghg,1288.0,Normal
Alamo,TX,c_gas_score,8136334.599999999,Very High
Alamo,TX,c_num_establishments,8500000.0,Very High
Alamo,TX,c_gas_1kdollars,5260000.0,Very High
Alamo,TX,c_gas_lb_ghg,9440468.0,Very High
Alamo Heights,TX,c_gas_score,4100199.3649999998,High
Alamo Heights,TX,c_num_establishments,12800000.0,High
Alamo Heights,TX,c_gas_1kdollars,3670000.0,High
Alamo Heights,TX,c_gas_lb_ghg,8087638.0,High
Alamogordo,NM,c_gas_score,12236514.11,Normal
Alamogordo,NM,c_num_establishments,2100000.0,Normal
Alamogordo,NM,c_gas_1kdollars,470000.0,Normal
Alamogordo,NM,c_gas_lb_ghg,842786.0,Normal
Alamosa,CO,c_gas_score,8945848.495,Very High
Alamosa,CO,c_num_establishments,12550000.0,Very High
Alamosa,CO,c_gas_1kdollars,6260000.0,Very High
Alamosa,CO,c_gas_lb_ghg,13766600.0,Very High
