city,state,type,value,dataclass
Abbeville,LA,i_elec_score,103238.37732611081,High
Abbeville,LA,i_num_establishments,3350000.0,High
Abbeville,LA,i_elec_1kdollars,5010000.0,High
Abbeville,LA,i_elec_lb_ghg,15734217.0,High
Abbotsford,WI,i_elec_score,67579.72464473858,Very High
Abbotsford,WI,i_num_establishments,1250000.0,Very High
Abbotsford,WI,i_elec_1kdollars,31510000.0,Very High
Abbotsford,WI,i_elec_lb_ghg,45496597.0,Very High
Aberdeen,MD,i_elec_score,162699.0709734791,High
Aberdeen,MD,i_num_establishments,1750000.0,High
Aberdeen,MD,i_elec_1kdollars,7810000.0,High
Aberdeen,MD,i_elec_lb_ghg,19103260.0,High
Aberdeen,MS,i_elec_score,469464.57056074933,Very High
Aberdeen,MS,i_num_establishments,2250000.0,Very High
Aberdeen,MS,i_elec_1kdollars,38410000.0,Very High
Aberdeen,MS,i_elec_lb_ghg,111124788.0,Very High
Aberdeen,NJ,i_elec_score,3563294.5911215777,Normal
Aberdeen,NJ,i_num_establishments,2400000.0,Normal
Aberdeen,NJ,i_elec_1kdollars,3520000.0,Normal
Aberdeen,NJ,i_elec_lb_ghg,6680699.0,Normal
Aberdeen,SD,i_elec_score,2505071.51059083,Very High
Aberdeen,SD,i_num_establishments,7400000.0,Very High
Aberdeen,SD,i_elec_1kdollars,17590000.0,Very High
Aberdeen,SD,i_elec_lb_ghg,25143707.0,Very High
Aberdeen,WA,i_elec_score,527616.2522273762,High
Aberdeen,WA,i_num_establishments,3450000.0,High
Aberdeen,WA,i_elec_1kdollars,2470000.0,High
Aberdeen,WA,i_elec_lb_ghg,6875006.0,High
Abernathy,TX,i_elec_score,54233.023657826365,High
Abernathy,TX,i_num_establishments,3650000.0,High
Abernathy,TX,i_elec_1kdollars,8590000.0,High
Abernathy,TX,i_elec_lb_ghg,34218263.0,High
Abilene,KS,i_elec_score,86343.44616492618,Very High
Abilene,KS,i_num_establishments,2600000.0,Very High
Abilene,KS,i_elec_1kdollars,26020000.0,Very High
Abilene,KS,i_elec_lb_ghg,62548693.0,Very High
Abilene,TX,i_elec_score,1126463645.1568534,Very High
Abilene,TX,i_num_establishments,1318800000.0,Very High
Abilene,TX,i_elec_1kdollars,52220000.0,Very High
Abilene,TX,i_elec_lb_ghg,2202773934.0,Very High
Abington,PA,i_elec_score,1126463645.1568534,Very High
Abington,PA,i_num_establishments,8750000.0,Very High
Abington,PA,i_elec_1kdollars,38760000.0,Very High
Abington,PA,i_elec_lb_ghg,107926910.0,Very High
Abita Springs,LA,i_elec_score,24003.224085817572,Normal
Abita Springs,LA,i_num_establishments,700000.0,Normal
Abita Springs,LA,i_elec_1kdollars,780000.0,Normal
Abita Springs,LA,i_elec_lb_ghg,2450988.0,Normal
Absecon,NJ,i_elec_score,258700.7573964497,Normal
Absecon,NJ,i_num_establishments,700000.0,Normal
Absecon,NJ,i_elec_1kdollars,160000.0,Normal
Absecon,NJ,i_elec_lb_ghg,308707.0,Normal
Acton,MA,i_elec_score,1126463645.1568534,Very High
Acton,MA,i_num_establishments,5600000.0,Very High
Acton,MA,i_elec_1kdollars,43910000.0,Very High
Acton,MA,i_elec_lb_ghg,35630506.0,Very High
Acton,ME,i_elec_score,6350448.338427697,Normal
Acton,ME,i_num_establishments,700000.0,Normal
Acton,ME,i_elec_1kdollars,510000.0,Normal
Acton,ME,i_elec_lb_ghg,618544.0,Normal
Acton,NH,i_elec_score,3810269.0030566175,Normal
Acton,NH,i_num_establishments,700000.0,Normal
Acton,NH,i_elec_1kdollars,510000.0,Normal
Acton,NH,i_elec_lb_ghg,618544.0,Normal
Acushnet,MA,i_elec_score,7923937.66945307,Normal
Acushnet,MA,i_num_establishments,2050000.0,Normal
Acushnet,MA,i_elec_1kdollars,4570000.0,Normal
Acushnet,MA,i_elec_lb_ghg,3709487.0,Normal
Acworth,NH,i_elec_score,610992.7525243746,Normal
Acworth,NH,i_num_establishments,550000.0,Normal
Acworth,NH,i_elec_1kdollars,220000.0,Normal
Acworth,NH,i_elec_lb_ghg,193219.0,Normal
Ada,OK,i_elec_score,1997035.673495289,Very High
Ada,OK,i_num_establishments,11000000.0,Very High
Ada,OK,i_elec_1kdollars,31250000.0,Very High
Ada,OK,i_elec_lb_ghg,2202773934.0,Very High
Adair,OK,i_elec_score,33789.86232236929,Normal
Adair,OK,i_num_establishments,500000.0,Normal
Adair,OK,i_elec_1kdollars,1480000.0,Normal
Adair,OK,i_elec_lb_ghg,6241807.0,Normal
Adams,MA,i_elec_score,4831259.128845051,High
Adams,MA,i_num_establishments,1800000.0,High
Adams,MA,i_elec_1kdollars,9890000.0,High
Adams,MA,i_elec_lb_ghg,8028066.0,High
Adams,NY,i_elec_score,448776.5960359715,High
Adams,NY,i_num_establishments,1650000.0,High
Adams,NY,i_elec_1kdollars,3040000.0,High
Adams,NY,i_elec_lb_ghg,9088324.0,High
Adams,PA,i_elec_score,1126463645.1568534,Very High
Adams,PA,i_num_establishments,6100000.0,Very High
Adams,PA,i_elec_1kdollars,47670000.0,Very High
Adams,PA,i_elec_lb_ghg,122222257.0,Very High
Adamstown,PA,i_elec_score,710633.0045409697,High
Adamstown,PA,i_num_establishments,450000.0,High
Adamstown,PA,i_elec_1kdollars,4770000.0,High
Adamstown,PA,i_elec_lb_ghg,13269746.0,High
Adamsville,TN,i_elec_score,1100368.0907131585,High
Adamsville,TN,i_num_establishments,1900000.0,High
Adamsville,TN,i_elec_1kdollars,8260000.0,High
Adamsville,TN,i_elec_lb_ghg,24394542.0,High
Addis,LA,i_elec_score,676441.2372925536,Very High
Addis,LA,i_num_establishments,800000.0,Very High
Addis,LA,i_elec_1kdollars,35200000.0,Very High
Addis,LA,i_elec_lb_ghg,110662780.0,Very High
Addison,IL,i_elec_score,1126463645.1568534,Very High
Addison,IL,i_num_establishments,1318800000.0,Very High
Addison,IL,i_elec_1kdollars,1169490000.0,Very High
Addison,IL,i_elec_lb_ghg,2202773934.0,Very High
Addison,MD,i_elec_score,1437891.378370288,High
Addison,MD,i_num_establishments,1150000.0,High
Addison,MD,i_elec_1kdollars,8830000.0,High
Addison,MD,i_elec_lb_ghg,24574405.0,High
Addison,ME,i_elec_score,1158476.499762557,Normal
Addison,ME,i_num_establishments,600000.0,Normal
Addison,ME,i_elec_1kdollars,390000.0,Normal
Addison,ME,i_elec_lb_ghg,477745.0,Normal
Addison,PA,i_elec_score,2396485.630617147,High
Addison,PA,i_num_establishments,1250000.0,High
Addison,PA,i_elec_1kdollars,8910000.0,High
Addison,PA,i_elec_lb_ghg,24798649.0,High
Addison,TX,i_elec_score,9023387.73257867,Very High
Addison,TX,i_num_establishments,1318800000.0,Very High
Addison,TX,i_elec_1kdollars,1169490000.0,Very High
Addison,TX,i_elec_lb_ghg,2202773934.0,Very High
Addison,VT,i_elec_score,259030.33849477855,Normal
Addison,VT,i_num_establishments,1250000.0,Normal
Addison,VT,i_elec_1kdollars,1830000.0,Normal
Addison,VT,i_elec_lb_ghg,1945430.0,Normal
Addyston,KY,i_elec_score,688442.8493354624,Normal
Addyston,KY,i_num_establishments,50000.0,Normal
Addyston,KY,i_elec_1kdollars,50000.0,Normal
Addyston,KY,i_elec_lb_ghg,125192.0,Normal
Addyston,OH,i_elec_score,2065328.548006387,Normal
Addyston,OH,i_num_establishments,50000.0,Normal
Addyston,OH,i_elec_1kdollars,50000.0,Normal
Addyston,OH,i_elec_lb_ghg,125192.0,Normal
Adel,IA,i_elec_score,16894.931161184646,High
Adel,IA,i_num_establishments,1500000.0,High
Adel,IA,i_elec_1kdollars,6780000.0,High
Adel,IA,i_elec_lb_ghg,12134673.0,High
Adelanto,CA,i_elec_score,1126463645.1568534,Very High
