city,state,type,value,dataclass
Abbeville,LA,i_gas_score,72986.35660107988,Very High
Abbeville,LA,i_num_establishments,3350000.0,Very High
Abbeville,LA,i_gas_1kdollars,8960000.0,Very High
Abbeville,LA,i_gas_lb_ghg,34584628.0,Very High
Abbotsford,WI,i_gas_score,33026.5067068042,Very High
Abbotsford,WI,i_num_establishments,1250000.0,Very High
Abbotsford,WI,i_gas_1kdollars,12650000.0,Very High
Abbotsford,WI,i_gas_lb_ghg,30062736.0,Very High
Aberdeen,MD,i_gas_score,59368.066558600556,High
Aberdeen,MD,i_num_establishments,1750000.0,High
Aberdeen,MD,i_gas_1kdollars,3520000.0,High
Aberdeen,MD,i_gas_lb_ghg,4795947.0,High
Aberdeen,MS,i_gas_score,407674.99287596176,Very High
Aberdeen,MS,i_num_establishments,2250000.0,Very High
Aberdeen,MS,i_gas_1kdollars,20840000.0,Very High
Aberdeen,MS,i_gas_lb_ghg,57504200.0,Very High
Aberdeen,NJ,i_gas_score,1274282.9530441805,High
Aberdeen,NJ,i_num_establishments,2400000.0,High
Aberdeen,NJ,i_gas_1kdollars,1910000.0,High
Aberdeen,NJ,i_gas_lb_ghg,3475582.0,High
Aberdeen,SD,i_gas_score,2604314.322110824,Very High
Aberdeen,SD,i_num_establishments,7400000.0,Very High
Aberdeen,SD,i_gas_1kdollars,17590000.0,Very High
Aberdeen,SD,i_gas_lb_ghg,44183961.0,Very High
Aberdeen,WA,i_gas_score,199269.1412372936,Normal
Aberdeen,WA,i_num_establishments,3450000.0,Normal
Aberdeen,WA,i_gas_1kdollars,1290000.0,Normal
Aberdeen,WA,i_gas_lb_ghg,2065725.0,Normal
Abernathy,TX,i_gas_score,19789.35551953352,Very High
Abernathy,TX,i_num_establishments,3650000.0,Very High
Abernathy,TX,i_gas_1kdollars,6220000.0,Very High
Abernathy,TX,i_gas_lb_ghg,28162605.0,Very High
Abilene,KS,i_gas_score,64729.729924378844,Very High
Abilene,KS,i_num_establishments,2600000.0,Very High
Abilene,KS,i_gas_1kdollars,13910000.0,Very High
Abilene,KS,i_gas_lb_ghg,45265754.0,Very High
Abilene,TX,i_gas_score,884919912.4945142,Very High
Abilene,TX,i_num_establishments,1318800000.0,Very High
Abilene,TX,i_gas_1kdollars,1012040000.0,Very High
Abilene,TX,i_gas_lb_ghg,1789225327.0,Very High
Abington,PA,i_gas_score,884919912.4945142,Very High
Abington,PA,i_num_establishments,8750000.0,Very High
Abington,PA,i_gas_1kdollars,18660000.0,Very High
Abington,PA,i_gas_lb_ghg,30278043.0,Very High
Abita Springs,LA,i_gas_score,7212.42458365436,High
Abita Springs,LA,i_num_establishments,700000.0,High
Abita Springs,LA,i_gas_1kdollars,1400000.0,High
Abita Springs,LA,i_gas_lb_ghg,5387399.0,High
Absecon,NJ,i_gas_score,113503.81065088755,Normal
Absecon,NJ,i_num_establishments,700000.0,Normal
Absecon,NJ,i_gas_1kdollars,90000.0,Normal
Absecon,NJ,i_gas_lb_ghg,160603.0,Normal
Acton,MA,i_gas_score,4878203.281930786,Very High
Acton,MA,i_num_establishments,5600000.0,Very High
Acton,MA,i_gas_1kdollars,14800000.0,Very High
Acton,MA,i_gas_lb_ghg,24003277.0,Very High
Acton,ME,i_gas_score,3006143.11747903,Normal
Acton,ME,i_num_establishments,700000.0,Normal
Acton,ME,i_gas_1kdollars,290000.0,Normal
Acton,ME,i_gas_lb_ghg,451435.0,Normal
Acton,NH,i_gas_score,1803685.8704874176,Normal
Acton,NH,i_num_establishments,700000.0,Normal
Acton,NH,i_gas_1kdollars,290000.0,Normal
Acton,NH,i_gas_lb_ghg,451435.0,Normal
Acushnet,MA,i_gas_score,884919912.4945142,Normal
Acushnet,MA,i_num_establishments,2050000.0,Normal
Acushnet,MA,i_gas_1kdollars,1540000.0,Normal
Acushnet,MA,i_gas_lb_ghg,2498978.0,Normal
Acworth,NH,i_gas_score,167848.9830608479,Normal
Acworth,NH,i_num_establishments,550000.0,Normal
Acworth,NH,i_gas_1kdollars,60000.0,Normal
Acworth,NH,i_gas_lb_ghg,90340.0,Normal
Ada,OK,i_gas_score,900408.9422378379,Very High
Ada,OK,i_num_establishments,11000000.0,Very High
Ada,OK,i_gas_1kdollars,1012040000.0,Very High
Ada,OK,i_gas_lb_ghg,1789225327.0,Very High
Adair,OK,i_gas_score,16513.2533534021,High
Adair,OK,i_num_establishments,500000.0,High
Adair,OK,i_gas_1kdollars,2520000.0,High
Adair,OK,i_gas_lb_ghg,3765231.0,High
Adams,MA,i_gas_score,4210962.384994499,High
Adams,MA,i_num_establishments,1800000.0,High
