city,state,type,value,dataclass
Adak,AK,r_housing_units,1510000.0,Normal
Adak,AK,r_total_pop,610000.0,Normal
Adak,AK,r_gas_1kdollars,70000.0,Normal
Adak,AK,r_gas_lb_ghg,107140.0,Normal
Akhiok,AK,r_housing_units,170000.0,Normal
Akhiok,AK,r_total_pop,370000.0,Normal
Akhiok,AK,r_gas_1kdollars,10000.0,Normal
Akhiok,AK,r_gas_lb_ghg,13187.0,Normal
Akiak,AK,r_housing_units,770000.0,Normal
Akiak,AK,r_total_pop,2035000.0,Normal
Akiak,AK,r_gas_1kdollars,30000.0,Normal
Akiak,AK,r_gas_lb_ghg,54949.0,Normal
Akutan,AK,r_housing_units,500000.0,Normal
Akutan,AK,r_total_pop,3910000.0,Normal
Akutan,AK,r_gas_1kdollars,30000.0,Normal
Akutan,AK,r_gas_lb_ghg,39515.0,Normal
Alakanuk,AK,r_housing_units,1480000.0,Normal
Alakanuk,AK,r_total_pop,3685000.0,Normal
Alakanuk,AK,r_gas_1kdollars,0.0,Normal
Alakanuk,AK,r_gas_lb_ghg,0.0,Normal
Aleknagik,AK,r_housing_units,590000.0,Normal
Aleknagik,AK,r_total_pop,945000.0,Normal
Aleknagik,AK,r_gas_1kdollars,30000.0,Normal
Aleknagik,AK,r_gas_lb_ghg,39516.0,Normal
Allakaket,AK,r_housing_units,370000.0,Normal
Allakaket,AK,r_total_pop,525000.0,Normal
Allakaket,AK,r_gas_1kdollars,0.0,Normal
Allakaket,AK,r_gas_lb_ghg,0.0,Normal
Ambler,AK,r_housing_units,610000.0,Normal
Ambler,AK,r_total_pop,1475000.0,Normal
Ambler,AK,r_gas_1kdollars,30000.0,Normal
Ambler,AK,r_gas_lb_ghg,46261.0,Normal
Anaktuvuk Pass,AK,r_housing_units,810000.0,Normal
Anaktuvuk Pass,AK,r_total_pop,1365000.0,Normal
Anaktuvuk Pass,AK,r_gas_1kdollars,60000.0,Normal
Anaktuvuk Pass,AK,r_gas_lb_ghg,95965.0,Normal
Anchorage,AK,r_housing_units,312824700.0,Very High
Anchorage,AK,r_total_pop,423093150.0,Very High
Anchorage,AK,r_gas_1kdollars,208930700.0,Very High
Anchorage,AK,r_gas_lb_ghg,215386679.56,Very High
Anderson,AK,r_housing_units,580000.0,Normal
Anderson,AK,r_total_pop,840000.0,Normal
Anderson,AK,r_gas_1kdollars,0.0,Normal
