state_abbr,r_elec_class,r_gas_class,c_elec_class,c_gas_class,i_elec_class,i_gas_class
AK,1,1,1,1,1,1
AL,1,1,0,0,0,0
AR,1,1,1,1,3,3
AZ,1,1,1,1,2,1
CA,1,1,1,1,3,3
CO,1,1,1,1,1,1
CT,1,1,1,1,2,2
DC,1,1,1,1,1,1
DE,1,1,1,1,3,3
FL,1,1,0,0,0,0
GA,1,1,1,1,1,1
HI,3,1,1,1,3,2
IA,1,1,1,1,3,3
ID,1,1,1,1,2,2
IL,1,1,1,1,3,3
IN,1,1,1,1,3,3
KS,1,1,1,1,1,2
KY,1,1,1,1,3,3
LA,1,1,1,1,2,3
MA,1,1,1,1,1,1
MD,1,1,1,1,1,1
ME,1,1,1,1,1,1
MI,1,1,1,1,3,1
MN,1,1,1,1,2,3
MO,1,1,1,1,1,1
MS,1,1,1,1,3,3
MT,1,1,1,1,2,2
NC,1,1,0,0,0,0
ND,1,1,1,1,3,3
NE,1,1,1,1,2,3
NH,1,1,1,1,1,1
NJ,1,1,1,1,1,2
NM,1,1,1,1,2,1
NV,1,1,1,1,3,3
NY,1,1,1,1,1,1
OH,1,1,1,1,3,3
OK,1,1,1,1,2,2
OR,1,1,1,1,3,1
PA,1,1,1,1,2,2
RI,1,1,1,1,2,2
SC,1,1,0,0,0,0
SD,1,1,1,1,1,2
TN,1,1,1,1,3,3
TX,1,1,1,1,3,3
UT,1,1,1,1,1,1
VA,1,1,1,1,1,1
VT,1,1,1,1,1,1
WA,1,1,1,1,3,1
WI,1,1,1,1,3,3
WV,1,1,0,0,0,0
WY,1,1,1,1,2,2
