city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Abbeville,LA,22738.73837,36118.0366,315,3668,35874,585,73920,57242436,8873594
Abbot,ME,2288.799802,4329.585529,5,23,190,0,0,206707,0
Abbotsford,WI,18603.70296,26444.40527,61,592,5968,108,16440,6460008,1973481
Abbott,PA,297.68077,651.6389253,6,25,274,5,683,527464,81991
Abbott,TX,531.1820578,928.2673364,1,7,85,1,116,113766,13929
Abbottstown,PA,550.3237708,766.7134151,19,83,861,86,10969,1659700,1316795
Abbyville,KS,255.8195159,225.9631902,2,27,265,3,466,477452,55927
Abercrombie,MN,249.0717221,672.245875,16,127,1307,0,9,1414897,1081
Abercrombie,ND,498.1434441,1344.49175,16,127,1307,0,9,1414897,1081
Aberdeen,ID,2879.328782,3731.124617,47,245,3164,146,20693,3902778,2484084
Aberdeen,KY,2885.667942,4136.983455,39,319,3317,58,7830,5654435,939899
Aberdeen,MD,110365.3705,174916.347,297,10070,94676,1605,189553,182454006,22754393
Aberdeen,MS,21390.3272,50693.34645,143,4049,38390,119,16486,64354095,1978975
Aberdeen,NJ,235701.4242,389977.6421,266,4223,36092,1170,117135,69555106,14061141
Aberdeen,OH,5771.335884,8273.96691,39,319,3317,58,7830,5654435,939899
Aberdeen,SD,93110.37704,167591.2022,455,11062,111733,123,21150,120936234,2538875
Aberdeen,WA,149108.7466,305922.484,308,6835,74085,1018,116450,91377473,13978929
Abernathy,TX,5991.432617,7488.17451,71,583,6947,108,16265,14740967,1952553
Abilene,KS,29149.60074,64386.32551,195,3393,34169,584,79795,61531686,9578790
Abilene,TX,887272.676,1692523.539,1718,38003,452948,2858,428602,606497396,51450556
Abingdon,IL,5663.890851,9738.330568,66,577,6491,0,0,6631549,0
Abington,MA,170628.2951,281452.1512,318,6639,44852,1384,153558,48676337,18433499
Abington,PA,1449360.119,3112800.654,1200,10424,102675,3761,453200,197867963,54403371
Abita Springs,LA,13582.70973,19165.36499,49,850,9686,74,9333,15455230,1120401
Abrams,WI,108.8773039,221.5194427,11,95,1022,26,3989,1334366,478825
Absecon,NJ,97320.41016,186206.6527,152,2193,15320,0,9,29522769,1043
Accident,MD,1702.771591,3199.225043,18,87,847,30,3510,1443692,421347
Acequia,ID,313.626031,794.4648392,5,25,325,14,1917,400645,230134
Achille,OK,72.85249743,159.8510041,3,25,325,4,572,688831,68660
Ackerman,MS,12471.02049,35771.53416,29,347,2725,28,3834,4567854,460263
Ackley,IA,4098.071999,6704.639299,56,254,2783,86,14261,3012508,1711875
Acton,MA,477877.553,808688.7462,435,8058,49984,3076,349120,54245941,41909327
Acton,ME,9536.417118,15635.2948,35,223,1865,40,3807,2024037,456965
Acton,NH,5721.850271,9381.176879,35,223,1865,40,3807,2024037,456965
Acushnet,MA,95445.08732,172757.2605,163,1566,9506,518,66727,10316630,8010036
Acworth,NH,677.391397,1212.266615,6,58,402,0,0,436333,0
Ada,MN,14772.15671,40480.8901,53,733,7381,0,5,7988601,549
Ada,OH,6209.221552,10039.58235,74,594,5869,87,15845,10006792,1902018
Ada,OK,262701.6512,575514.2563,361,5518,72550,231,33615,153940795,4035261
Adair,IA,2072.196721,3092.692203,29,126,1382,67,11114,1495418,1334166
Adair,OK,906.9795073,1274.917941,11,122,1608,0,0,3412069,0
Adair Village,OR,550.892296,1459.215692,6,118,1285,10,1054,1585439,126553
Adairville,KY,2024.411997,1990.712164,28,407,3434,28,3958,5755752,475169
Adams,MA,43123.65814,68317.15992,160,4255,28732,825,92321,31181355,11082454
Adams,MN,2013.886376,2867.447263,23,321,3406,0,0,3686416,0
Adams,ND,725.7033867,839.5932541,6,79,1010,5,965,1093545,115798
Adams,NE,2374.812265,3840.979379,5,5,47,4,684,51078,82109
Adams,NY,45056.12121,70929.88975,82,1530,14555,194,38572,26206763,4630284
Adams,PA,30933.26599,54891.4348,239,2021,22143,0,0,39040076,6
Adams,WI,13308.90424,21226.48689,63,513,4546,151,22211,5933388,2666261
Adamstown,PA,7029.689213,10425.4557,21,475,5554,91,11150,10702624,1338443
Adamsville,TN,12166.29245,20121.23633,92,984,7890,0,25,13225297,2966
Addieville,IL,818.6689486,872.3379905,7,87,981,0,0,1002571,0
Addis,LA,4406.560276,6319.626629,27,153,1438,0,0,2294412,18
Addison,IL,858397.5025,1203234.016,525,8063,92352,2343,388530,157450112,46640152
