state_abbr c_elec_mwh
AK 2113.57
AR 5655.29
AZ 9711.83
CA 12000.96
CO 6643.10
CT 11525.35
DC 9893.22
DE 8905.94
GA 5258.21
HI 3381.40
IA 3284.78
ID 5152.27
IL 7315.75
IN 6335.20
KS 5083.50
KY 8524.49
LA 7222.08
MA 12267.83
MD 7278.70
ME 4704.68
MI 8231.40
MN 5567.26
MO 7337.13
MS 7156.35
MT 5892.91
ND 4127.38
NE 3155.28
NH 7848.74
NJ 12082.47
NM 7897.41
NV 9335.05
NY 7172.68
OH 7524.09
OK 5469.44
OR 8274.09
PA 8332.09
RI 12226.27
SD 4192.85
TN 9083.50
TX 7891.43
UT 6207.57
VA 10743.73
VT 5031.49
WA 10562.48
WI 6170.74
WY 8120.57
