state_abbr c_gas_mcf
AK 1560.22
AR 12644.60
AZ 24137.03
CA 33395.06
CO 17397.56
CT 19287.12
DC 20648.67
DE 11227.79
GA 6201.69
HI 1404.20
IA 12429.29
ID 13444.38
IL 14808.84
IN 15148.60
KS 10085.29
KY 15847.61
LA 14088.66
MA 20873.87
MD 13075.07
ME 5922.43
MI 15578.17
MN 12316.15
MO 1217.96
MS 12526.34
MT 14889.64
ND 5334.94
NE 4467.89
NH 9969.86
NJ 29830.84
NM 17565.07
NV 16177.77
NY 14775.16
OH 20170.71
OK 11421.23
OR 15893.46
PA 23875.34
RI 18006.37
SD 5939.45
TN 9810.36
TX 15638.81
UT 18145.35
VA 22046.42
VT 1382.12
WA 17923.94
WI 18727.58
WY 12379.54
