state_abbr,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
AK,8340.50,76189.60,32.95,1397.16,15700.28,330.28,65268.26,21961329.00,7834984.85,Normal,Normal
AR,11012.78,75526.26,47.33,1085.81,13972.36,511.93,97395.70,21568715.37,11691646.00,Normal,Normal
AZ,17991.92,137690.26,67.01,1097.78,16116.50,450.21,77175.71,22703068.82,9264378.88,Normal,Normal
CA,21115.98,124008.94,81.44,1427.89,19717.59,719.35,136654.54,30244375.37,16404382.75,Normal,Normal
CO,13703.07,89740.11,59.91,1058.21,13642.43,431.13,87228.98,19855105.70,10471202.35,Normal,Normal
CT,23034.90,119704.94,78.62,1536.40,14617.45,602.69,101805.30,18021693.95,12220983.17,Normal,Normal
DC,10720.49,64724.56,29.00,760.00,11525.00,259.50,57427.75,14509693.75,6893780.50,Normal,Normal
DE,8022.15,65498.98,41.32,1528.42,19579.58,745.71,89877.50,37732673.95,10789151.50,Normal,Normal
GA,5461.36,52829.99,44.50,1282.00,21685.00,444.12,111913.62,34410407.12,13434431.38,Normal,Normal
HI,8553.28,52538.11,50.00,678.00,9253.00,307.67,272301.92,13496294.50,32687827.67,Normal,Very High
IA,8202.76,53378.28,57.67,1559.05,20317.80,792.74,139422.41,29221479.47,16736645.24,Normal,Normal
ID,10053.50,67479.64,43.41,1147.98,16100.64,461.13,87999.78,21857768.85,10563728.04,Normal,Normal
IL,17938.55,103941.54,85.69,1308.77,18168.20,602.15,114681.68,26445930.23,13766697.40,Normal,Normal
IN,14098.15,88479.93,54.37,1434.29,20571.59,802.31,152544.37,34809667.40,18311840.12,Normal,Normal
KS,7731.61,50691.38,60.15,889.24,11924.41,475.26,91427.32,21259068.73,10975184.26,Normal,Normal
KY,10809.28,67552.63,48.98,1212.35,16700.83,496.11,120195.15,27629861.94,14428546.40,Normal,Normal
LA,9682.26,55218.25,57.22,931.05,15715.25,745.07,139278.52,27188232.05,16719372.86,Normal,Normal
MA,22563.96,128998.40,65.76,1285.93,14276.13,537.55,94197.59,16907921.55,11307735.18,Normal,Normal
MD,9490.99,58306.65,49.39,744.60,10963.67,350.54,54908.26,15996973.75,6591335.53,Normal,Normal
ME,14498.84,73133.35,24.74,406.59,4746.40,214.05,30937.32,5549014.41,3713797.59,Normal,Normal
MI,12259.10,76176.31,43.43,1083.45,15307.18,512.25,94986.66,20965420.88,11402456.49,Normal,Normal
MN,13669.44,79125.65,55.01,1119.51,14889.02,513.14,102435.37,21870039.05,12296618.12,Normal,Normal
MO,11067.50,64322.61,50.09,975.74,13087.47,505.67,83629.72,18430716.88,10039138.35,Normal,Normal
MS,14588.03,93853.04,50.07,1303.10,21319.41,704.04,154061.46,32220855.27,18493950.59,Normal,Normal
MT,9334.15,60401.46,53.81,734.25,11868.50,395.39,69623.89,17805243.61,8357840.42,Normal,Normal
ND,9765.54,67530.95,61.33,1615.30,20798.22,546.94,101256.78,26490328.46,12155133.07,Normal,Normal
NE,7173.31,45073.63,56.42,1293.04,16866.10,593.10,128093.32,21782898.13,15376669.44,Normal,Normal
NH,17534.40,108790.97,37.35,587.06,5777.69,202.97,27535.10,6336116.39,3305383.42,Normal,Normal
NJ,20134.60,117679.44,59.66,897.96,9088.68,450.62,75066.97,17301667.74,9011243.89,Normal,Normal
NM,12722.10,101412.13,51.25,860.41,12354.64,162.50,37945.34,18133094.82,4555052.27,Normal,Normal
NV,9991.63,77332.99,45.94,1420.29,16549.41,667.76,111748.76,21678375.41,13414616.53,Normal,Normal
NY,18784.17,100132.34,59.67,696.97,10165.08,313.70,55733.96,16621796.70,6690452.96,Normal,Normal
OH,14660.64,93225.51,63.16,1679.79,23154.92,714.74,147801.99,34170771.97,17742552.31,Normal,Normal
OK,9552.52,72144.49,63.35,722.85,10944.19,600.03,101044.35,21462998.90,12129638.48,Normal,Normal
OR,14085.37,76111.21,57.99,1077.81,14517.92,473.85,86263.33,21268467.73,10355279.50,Normal,Normal
PA,16009.40,92268.85,56.81,1160.52,15839.74,555.92,88269.09,26127144.53,10596060.38,Normal,Normal
RI,25729.29,147393.24,81.70,1340.17,13883.78,634.78,136741.25,16691294.87,16414784.64,Normal,Normal
SD,9766.11,77837.99,55.55,776.00,10266.16,388.41,79921.96,12448438.61,9594037.67,Normal,Normal
TN,9847.88,58581.41,46.02,1233.92,17946.41,514.49,114170.51,27295093.59,13705333.00,Normal,Normal
TX,12632.20,76851.26,60.96,894.42,15405.77,558.47,135846.28,22474763.45,16307357.43,Normal,Normal
UT,11754.49,66230.61,49.88,778.72,12189.08,364.72,65996.31,15217675.42,7922380.56,Normal,Normal
VA,12542.40,78650.37,60.35,996.24,15065.44,348.18,76838.76,21164039.68,9223934.12,Normal,Normal
VT,14906.08,89361.68,30.79,579.95,5882.73,92.75,14945.37,6605929.45,1794082.81,Normal,Normal
WA,13721.26,79741.06,68.35,1135.69,16014.32,559.19,88828.89,23045004.22,10663262.80,Normal,Normal
WI,12128.24,82803.94,43.47,1343.32,18030.74,667.47,127670.46,26248204.87,15325909.36,Normal,Normal
WY,12730.32,75735.96,56.35,1675.22,24178.83,509.37,127571.93,29616984.30,15314069.50,Normal,Normal
