state_abbr i_gas_mcf
AK 65268.26
AR 97395.70
AZ 77175.71
CA 136654.54
CO 87228.98
CT 101805.30
DC 57427.75
DE 89877.50
GA 111913.62
HI 272301.92
IA 139422.41
ID 87999.78
IL 114681.68
IN 152544.37
KS 91427.32
KY 120195.15
LA 139278.52
MA 94197.59
MD 54908.26
ME 30937.32
MI 94986.66
MN 102435.37
MO 83629.72
MS 154061.46
MT 69623.89
ND 101256.78
NE 128093.32
NH 27535.10
NJ 75066.97
NM 37945.34
NV 111748.76
NY 55733.96
OH 147801.99
OK 101044.35
OR 86263.33
PA 88269.09
RI 136741.25
SD 79921.96
TN 114170.51
TX 135846.28
UT 65996.31
VA 76838.76
VT 14945.37
WA 88828.89
WI 127670.46
WY 127571.93
