state_abbr r_elec_mwh
AK 4309.60
AL 23489.06
AR 14401.01
AZ 63469.15
CA 77292.34
CO 21572.79
CT 54570.91
DC 45199.12
DE 19888.98
FL 57302.86
GA 25562.74
HI 116373.17
IA 8486.85
ID 15737.30
IL 20277.68
IN 21954.95
KS 9965.96
KY 19522.38
LA 22128.96
MA 43480.27
MD 22579.21
ME 7549.70
MI 18073.34
MN 13877.27
MO 14537.20
MS 22832.25
MT 12361.29
NC 27449.43
ND 5942.47
NE 8189.99
NH 16149.91
NJ 45208.11
NM 22731.17
NV 69030.90
NY 25821.72
OH 23817.63
OK 14699.97
OR 28427.02
PA 22440.84
RI 58325.09
SC 25521.86
SD 6946.86
TN 30547.14
TX 29132.49
UT 23738.15
VA 30520.85
VT 7327.55
WA 39734.95
WI 14134.73
WV 13007.32
WY 13854.21
