state_abbr r_gas_mcf
AK 23424.32
AL 43266.05
AR 46159.63
AZ 226015.53
CA 527718.98
CO 199849.37
CT 231248.40
DC 436854.34
DE 57270.64
FL 19361.69
GA 79156.52
HI 118956.60
IA 52094.23
ID 78890.97
IL 200714.21
IN 137469.12
KS 59068.01
KY 61513.17
LA 48154.76
MA 271613.37
MD 78471.30
ME 5633.38
MI 188429.53
MN 102467.39
MO 69067.07
MS 52213.46
MT 87798.73
NC 71845.20
ND 26090.73
NE 47820.31
NH 42076.56
NJ 379636.25
NM 150276.31
NV 553593.25
NY 183257.96
OH 149779.30
OK 57274.92
OR 103558.42
PA 98670.83
RI 335610.55
SC 51280.63
SD 32766.49
TN 65222.84
TX 80765.96
UT 202975.89
VA 113365.17
VT 14594.89
WA 167438.85
WI 111275.91
WV 51629.35
WY 89901.69
