,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
0,West Springfield Town,534.0,14262.0,93487.0,1686.0,196835.0,101458125.0,23628626.0,MA
1,Suffield,238.0,4353.0,27324.0,1276.0,142897.0,29653665.0,17153778.0,MA
2,Agawam Town,490.0,7069.0,46502.0,1310.0,152994.0,50466800.0,18365777.0,MA
3,Longmeadow,327.0,4655.0,31107.0,753.0,87943.0,33759845.0,10556889.0,MA
4,Springfield,2333.0,89381.0,588042.0,9344.0,1091514.0,638182092.0,131028232.0,MA
5,New Salem,25.0,161.0,1083.0,0.0,2.0,1174879.0,204.0,MA
6,Hadley,183.0,6501.0,43754.0,679.0,78763.0,47484558.0,9454923.0,MA
7,Amherst,449.0,7220.0,47676.0,1314.0,147815.0,51740966.0,17744143.0,MA
8,Granby,127.0,1462.0,9877.0,212.0,24569.0,10719237.0,2949305.0,MA
9,Belchertown,224.0,2483.0,16773.0,0.0,0.0,18203043.0,37.0,MA
10,Pelham,20.0,231.0,1552.0,33.0,3715.0,1684732.0,446004.0,MA
11,Sunderland,80.0,554.0,3620.0,174.0,19521.0,3928390.0,2343387.0,MA
12,Leverett,42.0,274.0,1842.0,0.0,3.0,1999203.0,347.0,MA
13,South Hadley,248.0,2461.0,18646.0,627.0,73178.0,20236172.0,8784525.0,MA
14,Shutesbury,32.0,210.0,1414.0,0.0,2.0,1534721.0,266.0,MA
16,Hardwick,55.0,386.0,2609.0,0.0,0.0,2831840.0,3.0,MA
17,Phillipston,23.0,156.0,1051.0,0.0,0.0,1140154.0,0.0,MA
18,Barre,123.0,1185.0,8003.0,0.0,0.0,8685167.0,0.0,MA
19,Hubbardston,51.0,361.0,2437.0,0.0,0.0,2645256.0,18.0,MA
20,Petersham,23.0,155.0,1048.0,0.0,0.0,1137496.0,0.0,MA
21,New Braintree,23.0,165.0,1114.0,0.0,0.0,1209335.0,1.0,MA
22,Oakham,40.0,262.0,1767.0,0.0,0.0,1917985.0,0.0,MA
23,Rutland,98.0,896.0,6051.0,0.0,0.0,6566725.0,0.0,MA
24,Ware,186.0,2714.0,18335.0,0.0,0.0,19898590.0,25.0,MA
25,Palmer Town,279.0,4032.0,27233.0,934.0,105421.0,29554730.0,12655036.0,MA
27,Ludlow,331.0,4071.0,26939.0,879.0,102654.0,29235741.0,12322862.0,MA
32,Tolland,6.0,50.0,332.0,0.0,1.0,360313.0,93.0,MA
33,Huntington,50.0,369.0,2428.0,0.0,0.0,2634884.0,0.0,MA
34,Russell,64.0,550.0,3616.0,0.0,8.0,3924004.0,1017.0,MA
35,Otis,26.0,200.0,1346.0,0.0,0.0,1461178.0,1.0,MA
36,Blandford,18.0,160.0,1050.0,0.0,2.0,1139290.0,295.0,MA
37,Granville,19.0,161.0,1058.0,0.0,2.0,1147914.0,298.0,MA
38,Chester,20.0,169.0,1112.0,0.0,3.0,1206797.0,313.0,MA
41,Monson,156.0,2104.0,14213.0,318.0,37167.0,15425011.0,4461585.0,MA
43,Brimfield,77.0,573.0,3874.0,0.0,0.0,4203800.0,30.0,MA
44,Sturbridge,188.0,4174.0,28201.0,0.0,1.0,30605257.0,125.0,MA
45,Warren,56.0,904.0,6107.0,227.0,25335.0,6628068.0,3041273.0,MA
46,Holland,43.0,360.0,2435.0,0.0,0.0,2643017.0,4.0,MA
47,Brookfield,63.0,566.0,3823.0,208.0,22916.0,4149218.0,2750920.0,MA
48,Wales,30.0,250.0,1686.0,0.0,0.0,1829353.0,3.0,MA
49,Middlefield,3.0,21.0,140.0,0.0,0.0,151712.0,0.0,MA
50,Becket,32.0,223.0,1465.0,7.0,771.0,1589725.0,92501.0,MA
52,Worthington,28.0,200.0,1317.0,0.0,0.0,1429136.0,0.0,MA
53,Washington,10.0,67.0,442.0,2.0,232.0,479225.0,27884.0,MA
56,Peru,0.0,95.0,627.0,0.0,1.0,680883.0,130.0,MA
58,Chesterfield,26.0,416.0,2722.0,0.0,0.0,2953946.0,0.0,MA
60,Goshen,27.0,237.0,1599.0,0.0,0.0,1734816.0,2.0,MA
61,Westhampton,29.0,228.0,1535.0,37.0,4314.0,1665695.0,517888.0,MA
63,Holyoke,677.0,19232.0,149858.0,3924.0,460714.0,162635991.0,55305388.0,MA
64,Chicopee,824.0,12246.0,90342.0,2301.0,268862.0,98044897.0,32274915.0,MA
75,Plainfield,30.0,215.0,1417.0,0.0,0.0,1538223.0,0.0,MA
78,Windsor,0.0,92.0,604.0,0.0,1.0,655251.0,125.0,MA
80,Cummington,21.0,149.0,978.0,0.0,0.0,1060948.0,0.0,MA
81,Southampton,103.0,1152.0,7580.0,169.0,19528.0,8226639.0,2344189.0,MA
86,Easthampton Town,274.0,7888.0,53042.0,1089.0,127041.0,57564763.0,15250335.0,MA
87,Northampton,708.0,19335.0,130456.0,3164.0,369305.0,141579260.0,44332346.0,MA
90,Williamsburg,45.0,387.0,2615.0,0.0,0.0,2837566.0,4.0,MA
91,Enfield,701.0,24469.0,153605.0,4814.0,506393.0,166702390.0,60788735.0,MA
92,East Longmeadow,301.0,10213.0,68813.0,1043.0,121842.0,74680424.0,14626251.0,MA
94,Hampden,87.0,1842.0,12448.0,378.0,44141.0,13508937.0,5298791.0,MA
96,Somers,207.0,2036.0,12778.0,543.0,57161.0,13867850.0,6861745.0,MA
97,Wilbraham,296.0,4564.0,30740.0,755.0,88247.0,33361237.0,10593413.0,MA
104,Westfield,684.0,19004.0,127027.0,5082.0,510111.0,137858010.0,61235063.0,MA
105,Southwick,191.0,3000.0,19685.0,508.0,59102.0,21363329.0,7094817.0,MA
109,West Brookfield,79.0,581.0,3927.0,241.0,26654.0,4262182.0,3199619.0,MA
116,Ashfield,48.0,324.0,2178.0,0.0,0.0,2364246.0,1.0,MA
125,Sandisfield,19.0,142.0,957.0,0.0,0.0,1038176.0,1.0,MA
126,Granby,225.0,2547.0,15991.0,394.0,45219.0,17354497.0,5428218.0,MA
132,Colebrook,28.0,170.0,1068.0,34.0,3564.0,1159537.0,427786.0,MA
133,Hartland,43.0,299.0,1879.0,13.0,1485.0,2039158.0,178208.0,MA
136,Hatfield,87.0,2641.0,17776.0,169.0,19601.0,19291914.0,2352958.0,MA
145,Stafford,217.0,2529.0,15875.0,35.0,3710.0,17228579.0,445336.0,MA
148,Whately,55.0,381.0,2491.0,120.0,13433.0,2703245.0,1612556.0,MA
152,Conway,46.0,308.0,2076.0,0.0,0.0,2252596.0,1.0,MA
171,Montgomery,5.0,40.0,261.0,0.0,1.0,283294.0,73.0,MA
176,Wendell,7.0,186.0,1253.0,0.0,0.0,1360053.0,0.0,MA
177,Montague,144.0,2233.0,14764.0,349.0,39080.0,16022807.0,4691249.0,MA
206,North Brookfield,92.0,770.0,5202.0,257.0,28394.0,5645616.0,3408447.0,MA
211,Spencer,205.0,2044.0,13808.0,758.0,85612.0,14985718.0,10277119.0,MA
219,Savoy,10.0,72.0,486.0,3.0,311.0,527963.0,37366.0,MA
220,Hawley,8.0,68.0,455.0,0.0,0.0,493900.0,28.0,MA
