,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
5306,2526548.1654349444,4232339.752165888,1614.0,42390.0,348115.0,9822.0,1299265.0,670864437.0,155967367.0,411224345.5526289,1.0028483676151343
15562,33340.12462933902,50975.141613558255,96.0,100.0,1016.0,172.0,21730.0,1621465.0,2608547.0,1823033.68282576,1.0047055753361211
8485,5406.846917456751,7775.973571634245,39.0,30.0,299.0,67.0,8486.0,477750.0,1018726.0,775567.0779355136,1.0198728869344877
4460,8898.392851605346,14340.656919596277,80.0,553.0,6290.0,495.0,76547.0,6426296.0,9188904.0,6355440.83020364,1.0248251274678386
770,31677.7542241706,45947.9150710833,202.0,209.0,2111.0,371.0,46883.0,3368757.0,5627925.0,3932021.3274453,1.0258926559626722
9370,115023.50014425564,155822.09603754946,85.0,1247.0,12567.0,827.0,137507.0,13602145.0,16506759.0,11674353.81233832,1.0259705512249175
1090,4157809.505142637,7687861.05416696,2230.0,54769.0,553775.0,9648.0,1149727.0,683037589.0,138016369.0,417517987.3291359,1.0275213402814642
16740,430241.1783117547,837445.6100222339,1804.0,46763.0,556864.0,6474.0,740941.0,686847955.0,88944528.0,417734721.5927132,1.0299513588673344
15043,4139200.5563093117,7288731.130383026,1876.0,49722.0,516800.0,9559.0,1465221.0,674548551.0,175889072.0,419378691.67887354,1.0322183832224237
10827,20691.589005185702,33904.455569161124,56.0,855.0,11559.0,671.0,130617.0,12510679.0,15679611.0,11115663.667192109,1.0482216448469182
10826,10345.794502592851,16952.227784580562,56.0,855.0,11559.0,671.0,130617.0,12510679.0,15679611.0,11115693.67184828,1.0482427695456693
16269,46226.833129885264,96607.45684221775,203.0,1720.0,22579.0,1931.0,255930.0,27848901.0,30722466.0,22060928.72803014,1.0495849139266376
1180,592756.8683535407,832607.7358023527,677.0,25745.0,315720.0,0.0,0.0,669912863.0,0.0,409490617.76399755,1.0497840705220522
13585,10101.733778028196,20922.90749246123,65.0,567.0,6370.0,598.0,78696.0,6507540.0,9446935.0,6569602.836010532,1.0566902984655153
14779,210254.52747279356,408608.86766890594,1465.0,26618.0,326664.0,2400.0,372959.0,693134349.0,44770997.0,423833953.7966144,1.0591278275650045
4773,6870.783236471204,12755.093465309796,29.0,137.0,1558.0,198.0,26308.0,1921878.0,3158073.0,2222602.5092168134,1.0640011143614025
15132,1111047.1139931285,2285161.11328932,2014.0,43664.0,520426.0,3131.0,475714.0,696850453.0,57106034.0,426383869.01481307,1.0642692954119684
10440,7984.487721601015,15250.5434451562,89.0,911.0,8362.0,726.0,119670.0,10913979.0,14365456.0,10188730.999975158,1.0700803522191686
2161,3172338.401614615,6157886.747492148,2049.0,89724.0,544497.0,21430.0,2630262.0,590924074.0,315743749.0,414914615.4051878,1.073155438538761
13984,1271.1424623329829,1982.106649792488,22.0,657.0,7111.0,658.0,86562.0,7264468.0,10391155.0,7295301.361671896,1.0780285465879451
12722,4181.11891399922,6485.296090876162,50.0,280.0,3181.0,300.0,46433.0,3249955.0,5573923.0,3918778.660605035,1.0911284560386674
15373,56313.96147386331,126696.10421631395,131.0,2400.0,27534.0,1433.0,279017.0,29801431.0,33494006.0,24232684.75116856,1.0951693730429664
16109,16496.474095477002,28857.36918388895,74.0,1336.0,12000.0,1134.0,150309.0,14800676.0,18043512.0,12814922.092671862,1.0991208018293819
7584,551523.3349217734,1112481.9479979111,1074.0,35906.0,445582.0,2726.0,344217.0,710990473.0,41320684.0,438275036.9223879,1.1141370409437366
15657,2693051.705032037,5068782.474275643,2336.0,50858.0,528609.0,11332.0,1736975.0,689962119.0,208511204.0,443006357.9203492,1.116784089319449
10109,4801.781534427747,6632.26958329433,42.0,335.0,3770.0,413.0,54404.0,3851404.0,6530804.0,4561642.684205502,1.1168839768202459
14997,4414.281362640239,6846.892328880206,39.0,745.0,8379.0,782.0,102955.0,8559846.0,12358950.0,8742679.694641111,1.1204933591387325
13722,983782.3686429869,1787197.0483571878,2130.0,58736.0,615026.0,11101.0,2161581.0,665682305.0,259481959.0,443091430.72672814,1.135938816538103
5404,1994513.1826017331,3881207.535846705,1209.0,45063.0,537098.0,2512.0,376654.0,719175338.0,45214540.0,446153578.33999443,1.1428101414110945
14254,2300807.247801867,3932969.526688032,2640.0,94289.0,591893.0,22553.0,2442588.0,642361833.0,293214858.0,440216910.9629972,1.1438295831781036
4788,406020.1460908461,752755.3543189616,2430.0,51844.0,422729.0,6350.0,1017166.0,720708410.0,122103330.0,452242238.5947589,1.1469956716816012
4787,1218060.438272538,2258266.0629568845,2430.0,51844.0,422729.0,6350.0,1017166.0,720708410.0,122103330.0,452244238.68434054,1.1469963163073829
14257,804919.1994723431,1387695.3462403223,2700.0,94763.0,596346.0,22553.0,2442588.0,650378811.0,293214858.0,446539356.4911405,1.1614560673763565
1575,440094.4111009519,876909.9531905188,1400.0,42179.0,433719.0,2980.0,418743.0,727046614.0,50267078.0,453624687.1241136,1.1675137018360011
4930,1444575.0857419276,2685477.600725809,1722.0,56780.0,618026.0,11663.0,2290395.0,668928719.0,274945128.0,451747746.06429636,1.1680361884764145
4929,361143.7714354819,671369.4001814523,1722.0,56780.0,618026.0,11663.0,2290395.0,668928719.0,274945128.0,451738636.1741835,1.1680373774803725
15301,757514.3406653998,1667174.1949983141,1657.0,99412.0,536012.0,12511.0,1511959.0,717725119.0,181499643.0,461182103.30373627,1.1771376006561265
14018,218.5574922760041,479.5530123583934,7.0,49.0,554.0,83.0,10875.0,565516.0,1305410.0,983210.0884934475,1.1779844129396182
6004,1624.292560323565,2842.2910226957697,12.0,94.0,1051.0,131.0,17171.0,1073589.0,2061227.0,1493724.4838366746,1.17897118348257
15334,788192.6405598199,1500346.79252688,2329.0,44581.0,593172.0,8092.0,887044.0,731631278.0,106483190.0,461130990.4980792,1.1810262532686495
15333,394096.32027990994,750173.39626344,2329.0,44581.0,593172.0,8092.0,887044.0,731631278.0,106483190.0,461131521.82205313,1.1810299262537256
5990,621857.6466434564,1087717.9989400615,1541.0,42537.0,456517.0,17756.0,2928629.0,595876242.0,351560492.0,441903096.4414131,1.1936305708848434
9586,347229.7518460261,731749.7914095778,668.0,26351.0,346469.0,3836.0,557222.0,735159124.0,66890424.0,462911266.6761385,1.195043796568754
16363,1868.9159018222488,2141.1757155226983,11.0,73.0,813.0,111.0,14549.0,830706.0,1746554.0,1280364.8365356117,1.195850834051167
13929,1490.9187338568368,1612.7957067692637,10.0,83.0,937.0,121.0,15891.0,957694.0,1907645.0,1390167.5056870088,1.1968830298685045
8590,569844.6313047169,1124835.168442375,1715.0,29161.0,347564.0,2384.0,362235.0,737482511.0,43483674.0,464335626.44665664,1.2085411701801012
4421,1233281.3100677102,2581026.718956052,1312.0,26551.0,349095.0,4386.0,637172.0,740731905.0,76487854.0,468169286.90090275,1.2128090654375001
8061,1581689.1481199588,3002366.242767707,2362.0,66638.0,532288.0,14073.0,2157206.0,694764279.0,258956790.0,467553793.5225598,1.2154445465206967
1656,299.6024559002637,258.86779096344316,34.0,154.0,1145.0,145.0,29787.0,1951665.0,3575743.0,2584730.7266271207,1.236701787561125
6312,1727.4653863931117,2489.730347177145,10.0,96.0,1084.0,139.0,18276.0,1107288.0,2193881.0,1598779.1179347176,1.2443837647025158
5452,542376.1533238463,832065.1829214706,790.0,45980.0,389591.0,7047.0,815767.0,750795432.0,97926862.0,479323358.8804587,1.2473392121962477
16676,3986791.2256213482,8142202.082479983,3079.0,80868.0,546211.0,24152.0,3095169.0,592784977.0,371552441.0,452679879.0890984,1.2477525325561107
5195,621244.3631332399,1117909.254737607,2203.0,37048.0,427867.0,6030.0,1104089.0,749757042.0,132537836.0,481369403.30810356,1.2520398245744209
14314,85448.26547241195,173154.22386158525,1336.75,38918.0,490561.75,7016.0,890861.5,752900626.5,106941443.5,480593878.197215,1.254085443095682
3840,113316.48222491208,188070.21876375363,271.0,265.0,2683.0,497.0,62762.0,4281684.0,7534176.0,5337307.914733949,1.2603217891102039
16757,1124.4924087505271,1361.6109813969592,12.0,80.0,899.0,122.0,16087.0,918499.0,1931136.0,1419868.402193441,1.2631184457740894
4987,1243852.977057441,2673462.9885252737,1409.0,26674.0,351109.0,10674.0,1496725.0,745005263.0,179670945.0,486507968.13682073,1.2677173037512859
624,3142.8973347834844,3951.7722522636686,27.0,168.0,1888.0,226.0,29760.0,1928544.0,3572514.0,2588566.575589249,1.267858350295257
16601,3870156.2631825674,5899943.545750338,1709.0,47101.0,390872.0,10010.0,1218363.0,753264090.0,146255601.0,487313857.74235225,1.2732451517579537
1084,6488.205576528299,11990.033711972028,120.0,1181.0,13169.0,1148.0,154803.0,13703665.0,18582988.0,13466233.277152183,1.2850432755245194
381,292146.4583772159,540090.3552349724,2207.0,55751.0,579463.0,8820.0,1352009.0,756339261.0,162298797.0,493160478.92292696,1.2932031298195652
