business,electricity_use_per_establishment,natural_gas_use_per_establishment,building_num,mean_elec,mean_gas
Accommodation,6573795.0,13154281.0,22952,286.4149093760892,573.1213401882189
Administrative and Support Services,2133510.0,2314156.0,34355,62.10187745597438,67.36009314510261
Air Transportation,1402800.0,2053352.0,4426,316.94532309082695,463.92950745594214
Ambulatory Health Care Services,4746983.0,15261597.0,33860,140.19441819255758,450.72643236857647
"Amusement, Gambling, and Recreation Industries",5663338.0,7333163.0,27099,208.98697368906602,270.606406140448
Broadcasting (except Internet),1631188.0,2669022.0,7612,214.29164477141356,350.63347346295325
Building Material and Garden Equipment and Supplies Dealers,4039468.0,3962471.0,28594,141.26977687626774,138.5770091627614
Clothing and Clothing Accessories Stores,1164201.0,1422881.0,20553,56.64384761348708,69.22984479151462
Couriers and Messengers,3404231.0,4888394.0,10910,312.02850595783684,448.06544454628784
Credit Intermediation and Related Activities,1540814.0,2125747.0,32246,47.783104881225576,65.92281213173727
"Data Processing, Hosting, and Related Services",2494098.0,3596697.0,10093,247.11166154760724,356.3555929852373
Educational Services,6128479.0,10500950.0,24441,250.74583691338324,429.6448590483204
Electronics and Appliance Stores,1361475.0,1928529.0,18345,74.21504497138184,105.1255928045789
Food Services and Drinking Places,2829591.0,6208613.0,38840,72.8524974253347,159.85100411946448
Food and Beverage Stores,8708597.0,6422595.0,31873,273.2280299940388,201.5058199730179
"Funds, Trusts, and Other Financial Vehicles",173138.0,291044.0,2137,81.01918577445016,136.19279363593824
Furniture and Home Furnishings Stores,1172657.0,1789504.0,19520,60.074641393442626,91.67540983606557
Gasoline Stations,1974683.0,2493843.0,33737,58.53167145863592,73.92011737854581
General Merchandise Stores,15530466.0,7280845.0,21056,737.5791223404256,345.78481193009117
Health and Personal Care Stores,1173720.0,1707947.0,24438,48.0284802356985,69.88898436860627
Hospitals,76209640.0,259765675.0,8541,8922.800608828005,30413.96499238965
Insurance Carriers and Related Activities,1422231.0,1876128.0,28612,49.707500349503704,65.57136865650776
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),498196.0,705645.0,4163,119.67235166946914,169.50396348786933
Management of Companies and Enterprises,4017939.0,4020486.0,17323,231.9424464584656,232.08947641863418
"Merchant Wholesalers, Durable Goods",4465747.0,2933411.0,30352,147.13188587243016,96.64638244596732
"Merchant Wholesalers, Nondurable Goods",6310840.0,4570045.0,27954,225.75803105101238,163.48447449381126
Miscellaneous Store Retailers,1156822.0,1863598.0,26318,43.95554373432632,70.81077589482483
Monetary Authorities-Central Bank,1053696.0,1261999.0,440,2394.7636363636366,2868.1795454545454
Motion Picture and Sound Recording Industries,1998791.0,3500027.0,13311,150.16084441439412,262.9424536097964
Motor Vehicle and Parts Dealers,2353392.0,3309251.0,28342,83.03549502505116,116.76137887234493
"Museums, Historical Sites, and Similar Institutions",1905351.0,2288439.0,8984,212.08270258236865,254.72384238646484
Nonstore Retailers,2063861.0,3600281.0,25686,80.34964572140466,140.1651093981157
Nursing and Residential Care Facilities,16007480.0,42488559.0,25003,640.2223733152022,1699.3384393872736
Other Information Services,1679863.0,2310642.0,11690,143.70085543199315,197.65970915312232
"Performing Arts, Spectator Sports, and Related Industries",2341221.0,3301597.0,17773,131.72908344117482,185.76475552804817
Personal and Laundry Services,1041258.0,2184173.0,30170,34.51302618495194,72.39552535631422
Pipeline Transportation,395279.0,743471.0,3900,101.35358974358974,190.63358974358974
"Professional, Scientific, and Technical Services",1321534.0,2262245.0,36684,36.0248064551303,61.66843855631883
Publishing Industries (except Internet),2759990.0,3971004.0,16388,168.41530388088844,242.31169148157187
Real Estate,1049380.0,1653270.0,30531,34.370967213651696,54.15053552127346
"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1016444.0,2210673.0,38539,26.374425906224864,57.361970990425284
Rental and Leasing Services,1388796.0,2087538.0,19704,70.48294762484775,105.94488428745433
Repair and Maintenance,1034566.0,2150205.0,34415,30.061484817666717,62.478715676303935
Scenic and Sightseeing Transportation,377456.0,663297.0,2810,134.32597864768684,236.04875444839857
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",814498.0,1321682.0,21061,38.67328237025782,62.754949907411806
Social Assistance,3066276.0,5825292.0,30923,99.15842576722828,188.38055816059244
"Sporting Goods, Hobby, Musical Instrument, and Book Stores",1528936.0,1795314.0,19761,77.37138808764739,90.85137391832397
Support Activities for Transportation,1691668.0,3382052.0,18373,92.07358624067926,184.07728732379036
Telecommunications,2534111.0,3900925.0,19864,127.57304671768023,196.38164518727345
Transit and Ground Passenger Transportation,4159159.0,5781879.0,15483,268.6274623780921,373.43402441387326
Truck Transportation,2053989.0,3888763.0,31818,64.55430888176504,122.21896410836634
Warehousing and Storage,6994200.0,6374520.0,10475,667.7040572792363,608.5460620525059
Waste Management and Remediation Services,2297155.0,5191135.0,18712,122.76373450192389,277.4227768277041
Water Transportation,929781.0,1263164.0,2365,393.14207188160674,534.107399577167
Wholesale Electronic Markets and Agents and Brokers,1153634.0,2370491.0,19298,59.77997719970981,122.83609700487096
