city,state_abbr,elec_score,gas_score
Abbeville,LA,22738.73837138479,36118.036596134734
Abbot,ME,2288.799802017034,4329.585529142928
Abbotsford,WI,18603.702963295615,26444.405272559754
Abbott,PA,297.6807699946787,651.6389253296693
Abbott,TX,531.1820578494469,928.2673363822992
Abbottstown,PA,550.3237708230438,766.7134151171003
Abbyville,KS,255.8195158686791,225.96319017011518
Abercrombie,MN,249.0717220730226,672.2458750443598
Abercrombie,ND,498.1434441460452,1344.4917500887195
Aberdeen,ID,2879.328781657767,3731.1246171824255
Aberdeen,KY,2885.6679418081653,4136.98345488512
Aberdeen,MD,110365.37052289718,174916.34701082742
Aberdeen,MS,21390.32719593522,50693.34645078828
Aberdeen,NJ,235701.42424195804,389977.64208191115
Aberdeen,OH,5771.335883616331,8273.96690977024
Aberdeen,SD,93110.37703921238,167591.2022034016
Aberdeen,WA,149108.74664111814,305922.4840169801
Abernathy,TX,5991.432617453476,7488.1745104721485
Abilene,KS,29149.60074008784,64386.325507988586
Abilene,TX,887272.6759652452,1692523.5390763541
Abingdon,IL,5663.890851028385,9738.330567843566
Abington,MA,170628.2951348546,281452.1512259599
Abington,PA,1449360.1189547572,3112800.6539586238
Abita Springs,LA,13582.709729795819,19165.364990521815
Abrams,WI,108.877303880465,221.5194426757833
Absecon,NJ,97320.41015626084,186206.65271151424
Accident,MD,1702.771590947544,3199.2250432669407
Acequia,ID,313.62603095478767,794.4648391527261
Achille,OK,72.8524974253347,159.85100411946448
Ackerman,MS,12471.02048743132,35771.53416289229
Ackley,IA,4098.071999207126,6704.639298907695
Acton,MA,477877.5530060169,808688.7461955214
Acton,ME,9536.417118096238,15635.294798555939
Acton,NH,5721.850270857743,9381.176879133565
Acushnet,MA,95445.08731787094,172757.2604710838
Acworth,NH,677.391397025048,1212.2666154761232
Ada,MN,14772.15671040485,40480.89009980162
Ada,OH,6209.221551665667,10039.582353310321
Ada,OK,262701.65120603296,575514.2563227443
Adair,IA,2072.1967207685393,3092.6922031468976
Adair,OK,906.9795073203168,1274.9179408450773
Adair Village,OR,550.892295958495,1459.2156920695702
Adairville,KY,2024.4119967511472,1990.7121643865903
Adams,MA,43123.65813734045,68317.15991796102
Adams,MN,2013.8863755223254,2867.447263040744
Adams,ND,725.703386685115,839.5932541385534
Adams,NE,2374.812265123994,3840.9793788275488
Adams,NY,45056.12121208279,70929.88975382621
Adams,PA,30933.265994811853,54891.43479508209
Adams,WI,13308.904236552973,21226.48689137176
Adamstown,PA,7029.689212943385,10425.455704986318
Adamsville,TN,12166.292453396396,20121.236334890593
Addieville,IL,818.6689486475914,872.3379905137427
Addis,LA,4406.560275936078,6319.626628577684
Addison,IL,858397.5025302658,1203234.0158614991
Addison,MD,4819.5028117174625,7537.184763083258
Addison,ME,6510.850215787518,8870.881083386432
Addison,MI,397.7291398113684,387.8963226648646
Addison,NY,10571.198013545836,13590.13741203762
Addison,PA,3410.707562078467,5283.207537884995
Addison,TX,439835.0253971888,682840.2072210596
Addison,VT,13347.645810113077,23527.573163063276
Addyston,KY,664.3068937412157,1434.5779056967147
Addyston,OH,1992.9206812236473,4303.733717090143
Adel,IA,10816.263035185586,19005.30269334094
Adelanto,CA,42902.30931389292,69777.26397078272
Adell,WI,1377.6156611422475,2319.0365476706897
Adena,OH,2548.954662819718,5531.250224085711
Admire,KS,36.0248064551303,61.66843855631883
Adrian,MI,51149.319630893464,105033.20384958947
Adrian,MN,3767.7540149727915,6281.107607258557
Adrian,TX,451.8812935954737,738.7193548657499
Advance,IN,311.63328900456,559.40235539506
Afton,IA,1899.7252075391582,3578.574113140321
Afton,MN,41486.4549670574,78225.9864574328
Afton,NY,31458.52143827572,51309.89947208905
Afton,OK,720.4520434359688,1275.7073852833933
Afton,WI,13828.818322352463,26075.328819144263
Afton,WY,19165.10340627535,48463.061160602105
Agar,SD,514.6285936207322,1029.1825306040525
Agawam Town,CT,108447.6664139348,184756.57514177624
Agawam Town,MA,325342.9992418045,554269.7254253285
Agency,IA,1060.6035799853182,1848.0805931762518
Agoura Hills,CA,348860.40844759357,582848.9597312922
Agra,KS,871.1310398641754,878.9098596815261
Agra,OK,668.4535661045181,1165.9333949377162
Agua Dulce,TX,320.5634986346602,440.38478923011695
Aguilar,CO,1144.85080911996,1463.6385188104018
Ahmeek,MI,820.8398125636504,912.5338808297722
Ainsworth,IA,72.8524974253347,159.85100411946448
Ainsworth,NE,16691.75244010915,40388.94383568071
Airway Heights,WA,28480.545554387703,44958.1713162063
Aitkin,MN,8336.349503321806,14144.179327145635
Akeley,MN,570.8296905040241,1053.8334899301235
Akron,CO,1719.5123021064162,2597.004326564322
Akron,IA,3188.486946737377,5095.759412897672
Akron,IN,1018.5872455371152,1844.4208963356773
Akron,MI,1579.5952531834366,2730.0586721579475
Akron,OH,1969685.8584563828,3631611.815258011
Akutan,AK,174.56538540620926,504.87696788984994
Alabama,NY,6251.272961391053,7700.408584091319
Alakanuk,AK,1844.492206271817,2902.231801133931
Alameda,CA,458145.7161381451,855803.9878186047
Alamo,TN,9731.665379550743,16427.556491509335
Alamo,TX,59412.970870844765,81363.34599950748
Alamo Heights,TX,21850.43017617445,41001.99365185916
Alamogordo,NM,62354.261941774916,122365.14105490678
Alamosa,CO,42292.53707829373,89458.48494587405
Alanson,MI,1187.5310981407365,1935.000873310434
Alba,MI,612.709998927916,1180.8663768524243
Alba,TX,504.70213418783027,968.7641327267726
Albany,CA,145940.25310306615,283259.26612592133
Albany,IL,1431.1315743446771,1768.0207878805288
Albany,IN,18548.86455869657,26940.264945182254
Albany,KY,20533.238203226152,47742.70982264989
Albany,LA,3909.6995145189485,6023.7581824862955
Albany,MN,16252.328103532662,41288.59880239565
Albany,NH,24767.85319333741,43461.57141417754
Albany,NY,2299625.5219107387,4561365.886251337
Albany,OH,1247.1093665411152,1769.4723135133959
Albany,OR,193605.4787140717,361557.7932774044
Albany,PA,17235.985885258568,24665.88733969167
Albany,TX,9470.940559513141,12057.459457594206
Albany,VT,4085.2708366056268,4887.085030685765
Albany,WI,742.2195400988967,1281.3540045007217
Albers,IL,6246.8476285355755,8646.055505974891
Albert,KS,100.57911533689534,183.88740266468517
Albert City,IA,1849.004792283518,3415.44106586287
Albert Lea,MN,65501.805611354604,127190.57151344523
Alberton,MT,344.2387034757559,549.4878198066566
Albertville,MN,35441.84622266198,50565.86820734714
Albia,IA,20120.991352865807,49621.86630528664
Albion,IA,1435.606309786645,1591.0747202389882
Albion,ID,2805.00961669104,4842.552407669754
Albion,IL,6392.253824193196,10306.73223367585
Albion,IN,1995.58663887701,3570.848568159708
Albion,ME,12901.938146498684,18642.18980053503
Albion,MI,12976.320794106192,20864.458631275338
Albion,NE,17424.36923959007,42937.89292450915
Albion,NY,39954.1899479737,72468.84643360712
Albion,WA,1093.6474792632878,2516.485773676731
Albuquerque,NM,3928055.6299679675,7778461.95069121
Alburgh,VT,6524.6490146954075,9545.468065580497
Alburnett,IA,734.4951018023502,1011.3504657682823
Alburtis,PA,1157.152882866338,1508.2571708280373
Alcester,SD,3554.0207759723185,5583.899847737458
Alcoa,TN,224032.95702694845,357273.96667020104
Alda,NE,1362.4586179334035,1773.264590461863
Aldan,PA,24193.637144785538,45081.583411618856
Alden,IA,2265.3108099642277,2731.9203400793335
Alden,MI,307.6033791393831,490.5885950635442
Alden,MN,741.2274675951635,1245.6715747537867
Alden,NY,67694.59834772494,101523.55093230489
Aldrich,MO,96.47284466962608,121.51062866637608
Aledo,IL,20279.749091772777,49036.313296771994
