,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
2662,120.94271548436308,326.2987795575896,32.0,11.0,224.0,20.0,6548.0,357616.0,786058.0,457627.38128514076,1.0017251364851443
976,337.89862322369294,1651.32533534021,2.0,17.0,342.0,31.0,9986.0,545380.0,1198774.0,681953.6859653379,1.0147881162495056
5333,45540.935725312695,439264.23438188096,11.0,24.0,402.0,10.0,1753.0,724597.0,210468.0,443691.3000776599,1.015560276069279
8217,50193.70739325608,330915.06111082644,1461.0,9431.0,106525.0,750.25,178.0,205262621.0,21399.0,72969475.5833332,1.0310788613854711
2705,11306075.27533602,82474833.0082541,4826.0,101286.0,1901054.0,73289.0,27656060.0,2545512922.0,3319907834.0,2882032072.4750285,1.0609329221287667
6112,3549571.578419237,29112093.469049636,3361.0,138536.0,2001505.0,66706.0,9014290.0,3857173475.0,1082099587.0,2711590473.289304,1.0762827741738856
2562,78695.39240654955,1173520.6762821786,37.0,314.0,2544.0,92.0,10752.0,2760459.0,1290663.0,1163575.0923844434,1.0762855510399778
7059,56627.93952246709,929173.2877515422,30.0,275.0,2690.0,21.0,4041.0,2919381.0,485045.0,1003809.5127917428,1.0766216806709716
6113,11831905.261397455,97040311.56349874,3361.0,138536.0,2001505.0,66706.0,9014290.0,3857173475.0,1082099587.0,2713186830.682749,1.07713548899077
3025,23415.463899356302,248977.5032665719,15.0,16.0,323.0,29.0,9447.0,515940.0,1134063.0,685690.3204359715,1.079670370237922
4974,48735.53047989624,236030.2516212711,97.0,4.0,69.0,2.0,401.0,70146.0,48111.0,244399.85846121862,1.084780595191458
6859,16032275.887683278,109636520.48276746,5786.0,223086.0,1871437.0,193053.0,28432012.0,2505872435.0,3413055286.0,2940083083.8523607,1.1022090494666863
6716,38323.10700814117,566322.160220547,13.0,112.0,909.0,33.0,3843.0,986790.0,461377.0,564268.4641962359,1.1083654441555713
8210,570363.6534173032,3722403.0072440743,17581.0,114070.0,1291187.0,912.25,59985.0,2485329270.0,7200704.0,1662972138.4623406,1.1101521768623315
4842,2447798.5278495443,20670335.875933956,2224.0,137475.0,2421082.0,56132.0,12642355.0,4058481454.0,1517622267.0,2932112366.194374,1.1205902214838142
4841,1631865.68523303,13780223.917289298,2224.0,137475.0,2421082.0,56132.0,12642355.0,4058481454.0,1517622267.0,2932071581.4611444,1.1206007862104894
4838,1223899.2639247722,10335167.937966976,2224.0,137475.0,2421082.0,56132.0,12642355.0,4058481454.0,1517622267.0,2932057345.749739,1.120610837917689
2356,262599.7760299001,1370376.683780763,579.0,168016.0,2409151.0,96047.0,19247882.0,4107345300.0,2310567620.0,3198839028.6969953,1.1211196070188374
3712,9248448.44190208,70491223.49119979,3038.0,170712.0,2447807.0,97588.0,19556725.0,4173249783.0,2347641874.0,3274765853.7123227,1.1621652000681186
5638,56807.60617750393,956405.1707394292,17.0,202.0,1510.0,68.0,9199.0,1639191.0,1104277.0,964441.3385735005,1.1798590801816518
3431,160925.97997201615,1602247.4662202671,35.0,359.0,2906.0,106.0,12284.0,3153755.0,1474550.0,1559688.1977230683,1.1958888080605716
7150,473597.62888352905,3426498.4573947117,1011.0,48283.0,951221.0,86433.0,27792008.0,2018358539.0,3336227403.0,2727313337.9610972,1.199436172682385
3801,136637.64952882138,976191.4571393634,77.0,104.0,1026.0,56.0,8567.0,1976867.0,1028450.0,995757.4232791933,1.2104006053514806
3519,98822.65545268725,478665.804583903,9.0,47.0,526.0,27.0,3472.0,570996.0,416733.0,484859.6636056266,1.2122913490094007
3024,2205.191518677281,16696.567973055724,7.0,8.0,160.0,15.0,4679.0,255526.0,561660.0,345444.8388063256,1.224370995814242
4655,112843.86816175714,1710352.3716891224,59.0,173.0,1698.0,93.0,14182.0,3272392.0,1702436.0,1666315.0028993944,1.224430141698708
4275,50800.94075313915,915783.6791005387,25.0,76.0,1254.0,33.0,5466.0,2258800.0,656095.0,932177.6799875362,1.2289297082652448
6115,96885.77921009564,631184.3467886678,55.0,42.0,693.0,18.0,3019.0,1247774.0,362430.0,648222.887186014,1.2369165426860393
6258,86495.20979145446,1328242.9155503165,17.0,183.0,2037.0,103.0,13439.0,2210419.0,1613239.0,1329307.3525403491,1.2433217048733687
