,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
0,West Springfield Town,11630.0,28575.0,15270.0,81359.0,6118.0,532326.0,88295765.0,63901804.0,MA
1,Suffield,4840.0,15513.0,8215.0,41700.0,948.0,69044.0,45255966.0,8288254.0,MA
2,Agawam Town,11621.0,28701.0,17452.0,92827.0,5959.0,518578.0,100741935.0,62251543.0,MA
3,Longmeadow,5710.0,15772.0,9383.0,49609.0,5039.0,438806.0,53838507.0,52675405.0,MA
4,Springfield,55921.0,153991.0,79978.0,425074.0,37335.0,3251343.0,461319159.0,390300006.0,MA
5,New Salem,435.0,986.0,667.0,3472.0,62.0,5013.0,3768203.0,601770.0,MA
6,Hadley,2291.0,5209.0,3400.0,17708.0,606.0,52272.0,19218075.0,6274904.0,MA
7,Amherst,8955.0,37611.0,12155.0,64304.0,2277.0,185120.0,69786805.0,22222346.0,MA
8,Granby,2493.0,6232.0,4030.0,20918.0,516.0,44544.0,22701281.0,5347128.0,MA
9,Belchertown,5611.0,14479.0,9055.0,46992.0,576.0,49738.0,50999103.0,5970636.0,MA
10,Pelham,533.0,1290.0,847.0,4409.0,86.0,6866.0,4785314.0,824218.0,MA
11,Sunderland,1567.0,3780.0,2042.0,10817.0,329.0,26427.0,11739026.0,3172329.0,MA
12,Leverett,759.0,1720.0,1163.0,6056.0,109.0,8743.0,6572070.0,1049539.0,MA
13,South Hadley,6786.0,17493.0,7760.0,54126.0,3273.0,284646.0,58741281.0,34169716.0,MA
14,Shutesbury,810.0,1837.0,1241.0,6466.0,116.0,9336.0,7017772.0,1120716.0,MA
16,Hardwick,1218.0,3088.0,1775.0,9211.0,152.0,11486.0,9996399.0,1378772.0,MA
17,Phillipston,622.0,1878.0,1024.0,5312.0,70.0,5600.0,5765476.0,672268.0,MA
18,Barre,1918.0,5383.0,3095.0,16063.0,179.0,14252.0,17432592.0,1710812.0,MA
19,Hubbardston,1626.0,4341.0,2682.0,13920.0,177.0,10879.0,15107198.0,1305958.0,MA
20,Petersham,423.0,1279.0,697.0,3617.0,48.0,3813.0,3925125.0,457679.0,MA
21,New Braintree,390.0,989.0,568.0,2949.0,49.0,3678.0,3200817.0,441479.0,MA
22,Oakham,647.0,1822.0,1100.0,5711.0,68.0,5102.0,6198393.0,612462.0,MA
23,Rutland,2873.0,7812.0,5173.0,26846.0,264.0,21007.0,29135514.0,2521725.0,MA
24,Ware,4133.0,9851.0,5773.0,29960.0,616.0,48636.0,32514335.0,5838377.0,MA
25,Palmer Town,4823.0,12145.0,6782.0,35204.0,812.0,67358.0,38205479.0,8085866.0,MA
27,Ludlow,8000.0,21131.0,12679.0,66620.0,3881.0,337971.0,72301004.0,40570948.0,MA
32,Tolland,424.0,1039.0,669.0,3557.0,55.0,4809.0,3860717.0,577267.0,MA
33,Huntington,793.0,2219.0,1223.0,6508.0,81.0,5900.0,7062497.0,708234.0,MA
34,Russell,581.0,1423.0,917.0,4876.0,76.0,6591.0,5291453.0,791196.0,MA
35,Otis,736.0,1601.0,1090.0,5678.0,108.0,8699.0,6161730.0,1044296.0,MA
36,Blandford,477.0,1169.0,753.0,4004.0,62.0,5412.0,4345199.0,649709.0,MA
37,Granville,538.0,1317.0,848.0,4513.0,70.0,6101.0,4897811.0,732337.0,MA
38,Chester,536.0,1313.0,846.0,4499.0,70.0,6082.0,4882671.0,730073.0,MA
41,Monson,3428.0,8531.0,5221.0,27098.0,558.0,48602.0,29408816.0,5834284.0,MA
43,Brimfield,1494.0,3582.0,2412.0,12518.0,229.0,18101.0,13585901.0,2172935.0,MA
44,Sturbridge,3602.0,9133.0,6614.0,34324.0,369.0,27831.0,37250210.0,3340927.0,MA
45,Warren,1928.0,5106.0,3060.0,15879.0,521.0,41149.0,17233332.0,4939623.0,MA
46,Holland,1064.0,2739.0,1654.0,8583.0,117.0,10182.0,9315059.0,1222301.0,MA
47,Brookfield,1419.0,3363.0,2198.0,11409.0,312.0,23501.0,12381375.0,2821065.0,MA
48,Wales,688.0,1770.0,1069.0,5546.0,76.0,6579.0,6018961.0,789794.0,MA
49,Middlefield,240.0,526.0,354.0,1881.0,35.0,2778.0,2041505.0,333466.0,MA
50,Becket,868.0,2049.0,1303.0,6930.0,121.0,9734.0,7521340.0,1168498.0,MA
52,Worthington,541.0,1186.0,797.0,4241.0,79.0,6263.0,4602534.0,751792.0,MA
53,Washington,131.0,309.0,197.0,1047.0,18.0,1470.0,1136036.0,176492.0,MA
56,Peru,326.0,806.0,511.0,2717.0,52.0,4205.0,2948681.0,504821.0,MA
58,Chesterfield,512.0,1043.0,773.0,4096.0,81.0,6433.0,4445691.0,772203.0,MA
60,Goshen,536.0,1230.0,798.0,4141.0,83.0,7150.0,4494328.0,858287.0,MA
61,Westhampton,661.0,1590.0,1073.0,5587.0,87.0,7583.0,6063184.0,910253.0,MA
63,Holyoke,15005.0,40280.0,15339.0,107293.0,6393.0,568480.0,116441804.0,68241831.0,MA
64,Chicopee,22988.0,56100.0,25102.0,171507.0,11036.0,961388.0,186130974.0,115407648.0,MA
75,Plainfield,283.0,620.0,417.0,2218.0,41.0,3276.0,2407367.0,393227.0,MA
78,Windsor,387.0,959.0,607.0,3230.0,62.0,5000.0,3505575.0,600163.0,MA
80,Cummington,417.0,915.0,615.0,3270.0,61.0,4829.0,3548854.0,579681.0,MA
81,Southampton,2490.0,5758.0,3848.0,20466.0,1009.0,87566.0,22210712.0,10511691.0,MA
86,Easthampton Town,7222.0,16042.0,9561.0,50181.0,2374.0,206097.0,54459847.0,24740427.0,MA
87,Northampton,11364.0,28534.0,14122.0,73396.0,5528.0,479652.0,79653699.0,57578706.0,MA
90,Williamsburg,1060.0,2434.0,1579.0,8192.0,164.0,14144.0,8890952.0,1697916.0,MA
91,Enfield,16268.0,44747.0,25578.0,129829.0,6177.0,426277.0,140898591.0,51171382.0,MA
92,East Longmeadow,6063.0,15555.0,9595.0,49873.0,4015.0,349677.0,54125139.0,41976157.0,MA
94,Hampden,1907.0,5134.0,3133.0,16261.0,896.0,78068.0,17647919.0,9371483.0,MA
96,Somers,3422.0,9284.0,5881.0,29853.0,362.0,25010.0,32398918.0,3002301.0,MA
97,Wilbraham,5223.0,14145.0,8789.0,45704.0,2777.0,241861.0,49600685.0,29033699.0,MA
104,Westfield,15112.0,41486.0,20110.0,118459.0,7405.0,591295.0,128559304.0,70980677.0,MA
105,Southwick,3634.0,9425.0,6206.0,32922.0,877.0,75986.0,35729630.0,9121580.0,MA
109,West Brookfield,1537.0,3730.0,2236.0,11603.0,432.0,32575.0,12592114.0,3910356.0,MA
116,Ashfield,741.0,1831.0,1110.0,5780.0,118.0,9439.0,6273124.0,1133109.0,MA
125,Sandisfield,290.0,632.0,430.0,2240.0,43.0,3432.0,2430641.0,411948.0,MA
126,Granby,4223.0,11192.0,7384.0,37482.0,501.0,39066.0,40678257.0,4689633.0,MA
132,Colebrook,588.0,1395.0,1055.0,5356.0,96.0,6646.0,5812416.0,797801.0,MA
133,Hartland,777.0,2158.0,1320.0,6702.0,101.0,7844.0,7273883.0,941655.0,MA
136,Hatfield,1527.0,3272.0,2120.0,11042.0,691.0,59675.0,11983728.0,7163573.0,MA
145,Stafford,4600.0,12102.0,8279.0,42022.0,321.0,22385.0,45605452.0,2687159.0,MA
148,Whately,599.0,1445.0,781.0,4135.0,126.0,10103.0,4487852.0,1212787.0,MA
152,Conway,702.0,1733.0,1050.0,5470.0,111.0,8933.0,5936936.0,1072383.0,MA
171,Montgomery,285.0,698.0,450.0,2393.0,37.0,3234.0,2596521.0,388241.0,MA
176,Wendell,385.0,897.0,554.0,2888.0,65.0,5226.0,3134178.0,627301.0,MA
177,Montague,3653.0,8455.0,5009.0,26347.0,1098.0,88131.0,28593427.0,10579487.0,MA
206,North Brookfield,1824.0,4686.0,2799.0,14528.0,378.0,28504.0,15766366.0,3421717.0,MA
211,Spencer,4735.0,11715.0,6713.0,34842.0,1287.0,97869.0,37812776.0,11748453.0,MA
219,Savoy,318.0,713.0,477.0,2483.0,55.0,4424.0,2695090.0,531032.0,MA
220,Hawley,144.0,318.0,210.0,1092.0,23.0,1860.0,1184645.0,223252.0,MA
259,Union,325.0,943.0,575.0,2918.0,8.0,652.0,3166964.0,78245.0,MA
353,Lenox,2481.0,5013.0,2979.0,15515.0,1433.0,115050.0,16837523.0,13810855.0,MA
354,Pittsfield,19166.0,43632.0,23789.0,126330.0,10999.0,883160.0,137101379.0,106016876.0,MA
355,Richmond,618.0,1520.0,940.0,4895.0,77.0,6176.0,5311914.0,741421.0,MA
356,Stephentown,1237.0,2908.0,1452.0,11339.0,142.0,16478.0,20415998.0,1978101.0,MA
357,Canaan,675.0,1604.0,876.0,7046.0,118.0,12014.0,12686522.0,1442228.0,MA
358,New Lebanon,1038.0,2440.0,1294.0,10146.0,155.0,15785.0,18267603.0,1894815.0,MA
359,Hancock,366.0,900.0,556.0,2898.0,46.0,3656.0,3144747.0,438934.0,MA
360,Dalton,2821.0,6753.0,3759.0,19994.0,1684.0,135204.0,21698763.0,16230266.0,MA
361,Lanesborough,1154.0,3074.0,2079.0,10830.0,260.0,20855.0,11753479.0,2503459.0,MA
363,Cheshire,1445.0,3245.0,1943.0,10337.0,492.0,39542.0,11218881.0,4746785.0,MA
364,North Adams,5913.0,13326.0,6635.0,34436.0,3418.0,274419.0,37372692.0,32941943.0,MA
365,New Ashford,77.0,189.0,117.0,608.0,10.0,767.0,659572.0,92061.0,MA
366,Adams,3773.0,8494.0,4419.0,22964.0,2032.0,163148.0,24921569.0,19584772.0,MA
367,Salisbury,1698.0,3783.0,2859.0,14514.0,41.0,3162.0,15751253.0,379577.0,MA
368,North Canaan,1224.0,3329.0,2131.0,10818.0,42.0,3248.0,11740612.0,389950.0,MA
369,New Marlborough,638.0,1499.0,906.0,4703.0,120.0,9600.0,5104202.0,1152355.0,MA
370,Sheffield,1401.0,3255.0,2027.0,10521.0,201.0,16110.0,11418245.0,1933848.0,MA
373,Tyringham,130.0,267.0,184.0,960.0,20.0,1578.0,1042163.0,189436.0,MA
374,Lee,2351.0,5932.0,3110.0,16199.0,1214.0,97506.0,17580545.0,11704915.0,MA
375,Hinsdale,856.0,2136.0,1186.0,6309.0,148.0,11903.0,6847253.0,1428857.0,MA
384,Williamstown,2275.0,7828.0,3015.0,15651.0,1099.0,88234.0,16985445.0,10591834.0,MA
