,zip,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,state_id
0,1001,West Springfield Town,154.0,6304.0,47136.0,2124.0,287078.0,MA
1,1001,Suffield,87.0,799.0,6237.0,273.0,44916.0,MA
2,1001,Agawam Town,130.0,5262.0,39343.0,1773.0,239619.0,MA
3,1001,Longmeadow,29.0,97.0,722.0,33.0,4398.0,MA
4,1001,Springfield,364.0,39122.0,292519.0,13184.0,1781569.0,MA
5,1002,New Salem,10.0,36.0,270.0,12.0,1644.0,MA
6,1002,Hadley,63.0,468.0,3496.0,158.0,21294.0,MA
7,1002,Amherst,81.0,3477.0,25999.0,1172.0,158344.0,MA
8,1002,Granby,24.0,107.0,797.0,36.0,4857.0,MA
9,1002,Belchertown,58.0,628.0,4692.0,211.0,28579.0,MA
10,1002,Pelham,11.0,25.0,185.0,8.0,1124.0,MA
11,1002,Sunderland,30.0,115.0,857.0,39.0,5221.0,MA
12,1002,Leverett,8.0,65.0,489.0,22.0,2978.0,MA
13,1002,South Hadley,48.0,1435.0,10732.0,484.0,65363.0,MA
14,1002,Shutesbury,14.0,27.0,199.0,9.0,1210.0,MA
15,1003,Amherst,81.0,3477.0,25999.0,1172.0,158344.0,MA
16,1005,Hardwick,27.0,176.0,1315.0,59.0,8006.0,MA
17,1005,Phillipston,11.0,66.0,494.0,22.0,3011.0,MA
18,1005,Barre,36.0,139.0,1040.0,47.0,6337.0,MA
19,1005,Hubbardston,24.0,197.0,1472.0,66.0,8964.0,MA
20,1005,Petersham,19.0,39.0,292.0,13.0,1777.0,MA
21,1005,New Braintree,22.0,97.0,725.0,33.0,4415.0,MA
22,1005,Oakham,12.0,26.0,191.0,9.0,1165.0,MA
23,1005,Rutland,34.0,154.0,1151.0,52.0,7010.0,MA
24,1007,Ware,41.0,598.0,4471.0,202.0,27233.0,MA
25,1007,Palmer Town,88.0,5371.0,40162.0,1810.0,244603.0,MA
26,1007,New Salem,10.0,36.0,270.0,12.0,1644.0,MA
27,1007,Ludlow,86.0,4791.0,35826.0,1615.0,218195.0,MA
