,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
count,16817.00,16817.00,16817.00,16817.00,16817.00,16817.00,16817.00,16817.00,16817.00
mean,281546.30,496516.42,213.50,5028.70,43758.60,921.30,127979.88,65512410.50,15363048.40
std,10606141.00,17491693.22,1382.86,53992.70,367330.08,8260.49,1270724.03,553659067.85,152541132.83
min,26.37,54.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25%,1101.23,1705.79,12.00,111.00,1148.00,4.00,549.00,1588394.00,65919.00
50%,6221.92,10168.81,42.00,417.00,4199.00,47.00,7021.00,6139039.00,842786.00
75%,36577.42,69149.05,145.00,2091.00,20216.00,346.00,49468.00,30225256.00,5938224.00
max,1184669438.00,1913917589.00,92276.00,4291287.00,26024809.00,564887.00,97518263.00,38995524672.00,11706354721.00
median,6221.92,10168.81,42.00,417.00,4199.00,47.00,7021.00,6139039.00,842786.00
range,1184669411.63,1913917534.85,92276.00,4291287.00,26024809.00,564887.00,97518263.00,38995524672.00,11706354721.00
var,37.67,35.23,6.48,10.74,8.39,8.97,9.93,8.45,9.93
dis,35476.19,67443.27,133.00,1980.00,19068.00,342.00,48919.00,28636862.00,5872305.00
