,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
count,16817.00,16817.00,16817.00,16817.00,16817.00,16817.00,16817.00,16817.00,16817.00
mean,11425.96,21320.07,62.16,726.95,7258.95,105.18,15277.67,10665914.10,1833967.11
std,17145.46,33201.96,73.29,1022.81,10058.40,174.44,24906.57,14926631.70,2989853.66
min,26.37,54.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25%,1101.23,1705.79,12.00,111.00,1148.00,4.00,549.00,1588394.00,65919.00
50%,6221.92,10168.81,42.00,417.00,4199.00,47.00,7021.00,6139039.00,842786.00
75%,12461.42,21965.82,77.00,770.00,7879.00,103.00,15379.00,11488218.00,1846141.00
max,89760.26,170258.52,344.00,5058.00,48783.00,859.00,122769.00,73138093.00,14737549.00
median,6221.92,10168.81,42.00,417.00,4199.00,47.00,7021.00,6139039.00,842786.00
range,89733.89,170204.37,344.00,5058.00,48783.00,859.00,122769.00,73138093.00,14737549.00
var,1.50,1.56,1.18,1.41,1.39,1.66,1.63,1.40,1.63
dis,11360.19,20260.03,65.00,659.00,6731.00,99.00,14830.00,9899824.00,1780222.00
