zip,city,city_vmt_estimate,natl_avg_vmt_estimate,natl_per_capita_vmt_estimate
01001,West Springfield Town,287461413,75422411,7555
01001,Suffield,97856407,75422411,7555
01001,Agawam Town,173181550,75422411,7555
01001,Longmeadow,167949164,75422411,7555
01001,Springfield,1093522169,75422411,7555
01002,New Salem,16397328,75422411,7555
01002,Hadley,70351957,75422411,7555
01002,Amherst,104715304,75422411,7555
01002,Granby,43828182,75422411,7555
01002,Belchertown,83023322,75422411,7555
01002,Pelham,13579071,75422411,7555
01002,Sunderland,14913439,75422411,7555
01002,Leverett,10566721,75422411,7555
01002,South Hadley,74743061,75422411,7555
01002,Shutesbury,9731589,75422411,7555
01003,Amherst,104715304,75422411,7555
01005,Hardwick,11037130,75422411,7555
01005,Phillipston,26943238,75422411,7555
01005,Barre,25318691,75422411,7555
01005,Hubbardston,22873088,75422411,7555
01005,Petersham,10694082,75422411,7555
01005,New Braintree,6857832,75422411,7555
01005,Oakham,12450898,75422411,7555
01005,Rutland,31602348,75422411,7555
01007,Ware,47543692,75422411,7555
01007,Palmer Town,201477532,75422411,7555
01007,New Salem,16397328,75422411,7555
01007,Ludlow,182389354,75422411,7555
01007,Amherst,104715304,75422411,7555
01007,Granby,43828182,75422411,7555
01007,Belchertown,83023322,75422411,7555
01007,Pelham,13579071,75422411,7555
01008,Tolland,2149828,75422411,7555
01008,Huntington,11280576,75422411,7555
01008,Russell,53314572,75422411,7555
01008,Otis,38022822,75422411,7555
01008,Blandford,90129994,75422411,7555
01008,Granville,8597888,75422411,7555
01008,Chester,8886866,75422411,7555
01009,Palmer Town,201477532,75422411,7555
01009,Belchertown,83023322,75422411,7555
01010,Monson,23392629,75422411,7555
01010,Palmer Town,201477532,75422411,7555
01010,Brimfield,80445383,75422411,7555
01010,Sturbridge,308831770,75422411,7555
01010,Warren,90853533,75422411,7555
01010,Holland,4046494,75422411,7555
01010,Brookfield,23208599,75422411,7555
01010,Wales,4201400,75422411,7555
01011,Middlefield,1763027,75422411,7555
01011,Becket,619386815,75422411,7555
01011,Huntington,11280576,75422411,7555
01011,Worthington,5096694,75422411,7555
01011,Washington,3981906,75422411,7555
01011,Otis,38022822,75422411,7555
01011,Blandford,90129994,75422411,7555
01011,Peru,2898208,75422411,7555
01011,Chester,8886866,75422411,7555
01012,Chesterfield,4660017,75422411,7555
01012,Huntington,11280576,75422411,7555
01012,Goshen,10536988,75422411,7555
01012,Westhampton,3998516,75422411,7555
01013,West Springfield Town,287461413,75422411,7555
01013,Holyoke,369352827,75422411,7555
01013,Chicopee,832737316,75422411,7555
01013,Springfield,1093522169,75422411,7555
01020,Ludlow,182389354,75422411,7555
01020,Holyoke,369352827,75422411,7555
01020,Chicopee,832737316,75422411,7555
01020,Springfield,1093522169,75422411,7555
01020,South Hadley,74743061,75422411,7555
01022,Ludlow,182389354,75422411,7555
01022,Granby,43828182,75422411,7555
